Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation
1,妙蛙種子,Grass,Poison,318,45,49,49,65,65,45,1
2,妙蛙草,Grass,Poison,405,60,62,63,80,80,60,1
3,妙蛙花Mega,Grass,Poison,625,80,100,123,122,120,80,1
3,妙蛙花,Grass,Poison,525,80,82,83,100,100,80,1
4,小火龍,Fire,,309,39,52,43,60,50,65,1
5,火恐龍,Fire,,405,58,64,58,80,65,80,1
6,噴火龍MegaX,Fire,Dragon,634,78,130,111,130,85,100,1
6,噴火龍MegaY,Fire,Flying,634,78,104,78,159,115,100,1
6,噴火龍,Fire,Flying,534,78,84,78,109,85,100,1
7,傑尼龜,Water,,314,44,48,65,50,64,43,1
8,卡咪龜,Water,,405,59,63,80,65,80,58,1
9,水箭龜Mega,Water,,630,79,103,120,135,115,78,1
9,水箭龜,Water,,530,79,83,100,85,105,78,1
10,綠毛蟲,Bug,,195,45,30,35,20,20,45,1
11,鐵甲蛹,Bug,,205,50,20,55,25,25,30,1
12,巴大蝶,Bug,Flying,395,60,45,50,90,80,70,1
13,獨角蟲,Bug,Poison,195,40,35,30,20,20,50,1
14,鐵殼蛹,Bug,Poison,205,45,25,50,25,25,35,1
15,大針蜂Mega,Bug,Poison,495,65,150,40,15,80,145,1
15,大針蜂,Bug,Poison,395,65,90,40,45,80,75,1
16,波波,Normal,Flying,251,40,45,40,35,35,56,1
17,比比鳥,Normal,Flying,349,63,60,55,50,50,71,1
18,大比鳥Mega,Normal,Flying,579,83,80,80,135,80,121,1
18,大比鳥,Normal,Flying,479,83,80,75,70,70,101,1
19,小拉達,Normal,,253,30,56,35,25,35,72,1
20,拉達,Normal,,413,55,81,60,50,70,97,1
21,烈雀,Normal,Flying,262,40,60,30,31,31,70,1
22,大嘴雀,Normal,Flying,442,65,90,65,61,61,100,1
23,阿柏蛇,Poison,,288,35,60,44,40,54,55,1
24,阿柏怪,Poison,,438,60,85,69,65,79,80,1
25,皮卡丘,Electric,,320,35,55,40,50,50,90,1
26,雷丘,Electric,,485,60,90,55,90,80,110,1
27,穿山鼠,Ground,,300,50,75,85,20,30,40,1
28,穿山王,Ground,,450,75,100,110,45,55,65,1
29,尼多蘭,Poison,,275,55,47,52,40,40,41,1
30,尼多娜,Poison,,365,70,62,67,55,55,56,1
31,尼多后,Poison,Ground,505,90,92,87,75,85,76,1
32,尼多朗,Poison,,273,46,57,40,40,40,50,1
33,尼多力諾,Poison,,365,61,72,57,55,55,65,1
34,尼多王,Poison,Ground,505,81,102,77,85,75,85,1
35,皮皮,Fairy,,323,70,45,48,60,65,35,1
36,皮可西,Fairy,,483,95,70,73,95,90,60,1
