,date,open,close
0,2003-01-02,14.36,14.8
1,2003-01-03,14.8,14.9
2,2003-01-06,15.03,14.9
3,2003-01-07,14.79,14.85
4,2003-01-08,14.58,14.55
5,2003-01-09,14.62,14.68
6,2003-01-10,14.58,14.72
7,2003-01-13,14.9,14.63
8,2003-01-14,14.69,14.61
9,2003-01-15,14.59,14.43
10,2003-01-16,14.21,14.62
11,2003-01-17,14.56,14.1
12,2003-01-21,14.21,14.02
13,2003-01-22,13.98,13.88
14,2003-01-23,14.05,14.17
15,2003-01-24,14.24,13.8
16,2003-01-27,13.68,14.13
17,2003-01-28,14.24,14.58
18,2003-01-29,14.24,14.58
19,2003-01-30,14.98,14.32
20,2003-01-31,14.19,14.36
21,2003-02-03,14.41,14.66
22,2003-02-04,14.45,14.6
23,2003-02-05,14.71,14.45
24,2003-02-06,14.36,14.43
25,2003-02-07,14.55,14.15
26,2003-02-10,14.26,14.35
27,2003-02-11,14.5,14.35
28,2003-02-12,14.27,14.39
29,2003-02-13,14.41,14.54
30,2003-02-14,14.61,14.67
31,2003-02-18,14.75,15.27
32,2003-02-19,15.07,14.85
33,2003-02-20,14.85,14.77
34,2003-02-21,14.82,15.0
35,2003-02-24,14.86,14.74
36,2003-02-25,14.68,15.02
37,2003-02-26,14.99,14.5
38,2003-02-27,14.57,14.86
39,2003-02-28,14.86,15.01
40,2003-03-03,15.01,14.65
41,2003-03-04,14.74,14.56
42,2003-03-05,14.61,14.62
43,2003-03-06,14.58,14.56
44,2003-03-07,14.47,14.53
45,2003-03-10,14.51,14.37
46,2003-03-11,14.36,14.23
47,2003-03-12,14.17,14.22
48,2003-03-13,14.47,14.72
49,2003-03-14,14.68,14.78
50,2003-03-17,14.89,15.01
51,2003-03-18,15.0,15.0
52,2003-03-19,15.07,14.95
53,2003-03-20,14.93,14.91
54,2003-03-21,15.09,15.0
55,2003-03-24,14.67,14.37
56,2003-03-25,14.41,14.55
57,2003-03-26,14.55,14.41
58,2003-03-27,14.32,14.49
59,2003-03-28,14.4,14.57
60,2003-03-31,14.34,14.14
61,2003-04-01,14.2,14.16
62,2003-04-02,14.36,14.6
