,date,open,close
0,2003-01-02,58.1,60.3
1,2003-01-03,60.05,60.12
2,2003-01-06,60.12,62.14
3,2003-01-07,62.14,60.93
4,2003-01-08,60.93,60.17
5,2003-01-09,60.5,62.4
6,2003-01-10,62.15,61.81
7,2003-01-13,62.05,62.82
8,2003-01-14,62.57,63.5
9,2003-01-15,63.5,62.99
10,2003-01-16,62.99,62.74
11,2003-01-17,62.75,61.92
12,2003-01-21,62.8,61.4
13,2003-01-22,61.41,60.4
14,2003-01-23,60.25,60.93
15,2003-01-24,58.75,56.04
16,2003-01-27,56.05,55.22
17,2003-01-28,55.47,56.0
18,2003-01-29,55.47,56.0
19,2003-01-30,55.3,53.25
20,2003-01-31,53.25,54.12
21,2003-02-03,54.55,55.33
22,2003-02-04,50.47,51.7
23,2003-02-05,51.4,50.82
24,2003-02-06,50.1,48.2
25,2003-02-07,48.45,46.7
26,2003-02-10,46.7,47.0
27,2003-02-11,47.0,47.44
28,2003-02-12,47.59,46.5
29,2003-02-13,47.75,47.97
30,2003-02-14,47.97,49.39
31,2003-02-18,50.3,50.92
32,2003-02-19,51.0,50.18
33,2003-02-20,50.43,49.76
34,2003-02-21,50.25,50.81
35,2003-02-24,50.69,49.65
36,2003-02-25,49.66,50.32
37,2003-02-26,50.32,49.46
38,2003-02-27,49.71,50.46
39,2003-02-28,50.4,49.29
40,2003-03-03,49.47,48.35
41,2003-03-04,47.65,47.56
42,2003-03-05,47.76,48.97
43,2003-03-06,48.27,47.72
44,2003-03-07,46.81,47.88
45,2003-03-10,47.3,45.33
46,2003-03-11,45.34,44.47
47,2003-03-12,44.48,44.7
48,2003-03-13,45.7,47.7
49,2003-03-14,47.74,48.96
50,2003-03-17,48.97,51.46
51,2003-03-18,51.74,50.98
52,2003-03-19,50.98,51.87
53,2003-03-20,51.63,52.1
54,2003-03-21,53.25,54.48
55,2003-03-24,54.27,51.97
56,2003-03-25,52.1,51.86
57,2003-03-26,52.0,51.46
58,2003-03-27,50.75,50.4
59,2003-03-28,50.1,49.85
60,2003-03-31,48.85,49.45
61,2003-04-01,49.46,50.6
62,2003-04-02,52.35,53.02
63,2003-04-03,53.8,52.5
64,2003-04-04,52.98,53.66
65,2003-04-07,55.53,54.09
66,2003-04-08,54.09,53.65
67,2003-04-09,53.88,53.09
68,2003-04-10,53.09,53.14
69,2003-04-11,53.4,53.03
70,2003-04-14,53.04,53.71
71,2003-04-15,53.71,53.98
72,2003-04-16,54.5,52.87
73,2003-04-17,52.87,53.64
74,2003-04-21,54.15,54.5
75,2003-04-22,54.5,56.91
76,2003-04-23,57.0,58.27
77,2003-04-24,58.27,55.37
78,2003-04-25,55.75,54.75
79,2003-04-28,55.15,56.72
80,2003-04-29,56.72,56.57
81,2003-04-30,56.58,57.95
82,2003-05-01,57.95,57.29
83,2003-05-02,57.29,57.76
84,2003-05-05,57.76,57.58
85,2003-05-06,57.58,57.5
86,2003-05-07,57.3,56.55
87,2003-05-08,56.56,55.46
88,2003-05-09,55.95,56.25
89,2003-05-12,56.25,56.35
90,2003-05-13,56.36,55.62
91,2003-05-14,56.15,56.46
92,2003-05-15,56.9,57.31
93,2003-05-16,57.2,57.95
94,2003-05-19,57.3,55.86
95,2003-05-20,55.8,55.42
96,2003-05-21,55.0,55.43
97,2003-05-22,55.35,55.8
98,2003-05-23,55.81,54.99
99,2003-05-27,54.65,56.51
100,2003-05-28,56.94,56.72
101,2003-05-29,56.6,56.25
102,2003-05-30,56.25,57.88
103,2003-06-02,58.0,58.5
104,2003-06-03,58.6,57.9
105,2003-06-04,57.6,58.72
106,2003-06-05,58.71,58.93
107,2003-06-06,59.3,58.27
108,2003-06-09,58.05,57.4
109,2003-06-10,57.6,57.93
110,2003-06-11,58.35,59.32
111,2003-06-12,59.32,58.3
112,2003-06-13,58.35,58.2
113,2003-06-16,58.8,60.2
114,2003-06-17,60.5,59.97
115,2003-06-18,59.97,59.39
116,2003-06-19,59.39,57.9
117,2003-06-20,58.2,57.8
118,2003-06-23,57.79,57.22
119,2003-06-24,57.0,56.89
120,2003-06-25,56.85,55.65
121,2003-06-26,55.66,56.2
122,2003-06-27,56.25,55.69
123,2003-06-30,55.55,55.18
124,2003-07-01,54.9,55.54
125,2003-07-02,54.96,57.0
126,2003-07-03,56.75,56.48
127,2003-07-07,57.25,57.8
128,2003-07-08,57.65,58.0
129,2003-07-09,57.88,57.01
130,2003-07-10,56.5,55.85
131,2003-07-11,56.0,57.16
132,2003-07-14,57.68,58.44
133,2003-07-15,58.65,59.3
134,2003-07-16,60.2,59.8
135,2003-07-17,59.79,59.8
136,2003-07-18,60.35,60.02
137,2003-07-21,60.0,60.0
138,2003-07-22,60.25,60.58
139,2003-07-23,60.58,60.25
140,2003-07-24,60.95,62.2
141,2003-07-25,62.9,64.65
142,2003-07-28,65.24,64.7
143,2003-07-29,64.69,63.28
144,2003-07-30,63.55,63.57
145,2003-07-31,63.98,64.2
146,2003-08-01,64.0,62.86
147,2003-08-04,62.8,62.22
148,2003-08-05,62.1,61.5
149,2003-08-06,61.55,62.09
150,2003-08-07,62.05,62.0
151,2003-08-08,62.3,62.2
152,2003-08-11,62.2,62.51
153,2003-08-12,62.35,63.2
154,2003-08-13,63.21,61.88
155,2003-08-14,61.85,62.74
156,2003-08-15,62.75,62.4
157,2003-08-18,62.85,62.65
158,2003-08-19,63.05,63.0
159,2003-08-20,62.9,61.66
160,2003-08-21,61.9,60.68
161,2003-08-22,60.65,59.59
162,2003-08-25,59.6,59.57
163,2003-08-26,59.53,60.37
164,2003-08-27,60.05,59.45
165,2003-08-28,59.46,59.46
166,2003-08-29,59.46,59.57
167,2003-09-02,59.4,59.01
168,2003-09-03,59.5,60.1
169,2003-09-04,60.5,59.7
170,2003-09-05,59.67,58.95
171,2003-09-08,59.25,59.58
172,2003-09-09,59.55,60.31
173,2003-09-10,60.5,60.58
174,2003-09-11,60.75,60.15
175,2003-09-12,60.1,60.05
176,2003-09-15,60.0,58.85
177,2003-09-16,58.9,60.2
178,2003-09-17,60.1,59.72
179,2003-09-18,59.5,60.71
180,2003-09-19,60.6,60.35
181,2003-09-22,59.9,59.65
182,2003-09-23,59.85,59.78
183,2003-09-24,59.55,58.0
184,2003-09-25,58.2,58.0
185,2003-09-26,58.0,57.5
186,2003-09-29,57.55,58.21
187,2003-09-30,58.2,57.7
188,2003-10-01,57.9,59.9
189,2003-10-02,59.9,60.37
190,2003-10-03,60.95,60.55
191,2003-10-06,60.56,60.82
192,2003-10-07,60.6,61.08
193,2003-10-08,61.08,60.88
194,2003-10-09,60.88,60.86
195,2003-10-10,60.86,60.29
196,2003-10-13,60.45,61.44
197,2003-10-14,61.65,62.5
198,2003-10-15,62.85,62.49
199,2003-10-16,62.1,62.2
200,2003-10-17,62.2,61.08
201,2003-10-20,61.4,61.95
202,2003-10-21,61.0,61.27
203,2003-10-22,61.27,60.25
204,2003-10-23,60.0,60.56
205,2003-10-24,60.35,60.18
206,2003-10-27,60.7,59.98
207,2003-10-28,60.23,60.36
208,2003-10-29,60.36,60.9
209,2003-10-30,61.25,60.6
210,2003-10-31,60.85,60.83
211,2003-11-03,60.85,61.8
212,2003-11-04,61.95,61.23
213,2003-11-05,60.75,60.03
214,2003-11-06,59.9,59.87
215,2003-11-07,60.0,58.28
216,2003-11-10,58.28,59.38
217,2003-11-11,59.2,59.57
218,2003-11-12,59.5,59.58
219,2003-11-13,59.1,59.17
220,2003-11-14,59.04,58.31
221,2003-11-17,58.0,58.29
222,2003-11-18,58.55,57.85
223,2003-11-19,57.95,58.09
224,2003-11-20,57.65,56.76
225,2003-11-21,57.0,56.59
226,2003-11-24,57.0,57.4
227,2003-11-25,57.25,57.18
228,2003-11-26,57.3,58.45
229,2003-11-28,58.35,57.95
230,2003-12-01,57.95,59.16
231,2003-12-02,58.95,58.31
232,2003-12-03,58.24,58.04
233,2003-12-04,57.85,58.92
234,2003-12-05,58.7,58.63
235,2003-12-08,58.55,59.05
236,2003-12-09,59.0,59.91
237,2003-12-10,59.5,59.68
238,2003-12-11,59.75,60.84
239,2003-12-12,61.5,62.12
240,2003-12-15,62.85,62.9
241,2003-12-16,62.95,64.18
242,2003-12-17,64.16,63.95
243,2003-12-18,63.95,64.8
244,2003-12-19,64.8,64.57
245,2003-12-22,64.35,64.64
246,2003-12-23,64.4,64.9
247,2003-12-24,64.82,64.83
248,2003-12-26,64.9,64.71
249,2003-12-29,64.6,65.8
250,2003-12-30,65.5,66.02
251,2003-12-31,66.0,66.28
252,2004-01-02,66.5,66.79
253,2004-01-05,67.3,67.82
254,2004-01-06,67.8,67.66
255,2004-01-07,67.4,68.49
256,2004-01-08,68.6,69.09
257,2004-01-09,68.8,69.13
258,2004-01-12,69.3,70.5
259,2004-01-13,70.5,69.49
260,2004-01-14,69.49,69.61
261,2004-01-15,69.61,69.55
262,2004-01-16,69.8,69.81
263,2004-01-20,69.56,69.1
264,2004-01-21,69.0,70.03
265,2004-01-22,70.75,69.61
266,2004-01-23,69.75,68.84
267,2004-01-26,68.8,69.63
268,2004-01-27,69.15,68.45
269,2004-01-28,68.95,68.1
270,2004-01-29,68.5,69.27
271,2004-01-30,69.27,69.45
272,2004-02-02,69.6,70.88
273,2004-02-03,70.88,70.74
274,2004-02-04,70.05,70.15
275,2004-02-05,70.2,71.33
276,2004-02-06,71.24,72.18
277,2004-02-09,72.45,71.83
278,2004-02-10,71.83,73.5
279,2004-02-11,73.05,74.35
280,2004-02-12,74.11,74.91
281,2004-02-13,74.98,74.72
282,2004-02-17,75.0,75.12
283,2004-02-18,75.13,74.36
284,2004-02-19,74.56,73.46
285,2004-02-20,73.75,73.64
286,2004-02-23,74.0,74.03
287,2004-02-24,73.9,73.8
288,2004-02-25,72.46,74.4
289,2004-02-26,74.35,74.42
290,2004-02-27,74.3,74.0
291,2004-03-01,74.35,74.09
292,2004-03-02,74.09,73.92
293,2004-03-03,73.6,74.7
294,2004-03-04,74.57,74.98
295,2004-03-05,74.45,74.28
296,2004-03-08,74.2,73.61
297,2004-03-09,73.4,73.0
298,2004-03-10,72.75,71.91
299,2004-03-11,71.5,70.85
300,2004-03-12,70.95,71.61
301,2004-03-15,71.1,70.06
302,2004-03-16,70.65,71.18
303,2004-03-17,71.2,73.01
304,2004-03-18,72.95,73.41
305,2004-03-19,73.05,72.1
306,2004-03-22,71.95,70.69
307,2004-03-23,70.8,70.0
308,2004-03-24,69.9,69.32
309,2004-03-25,69.6,70.41
310,2004-03-26,70.05,70.19
311,2004-03-29,70.28,71.56
312,2004-03-30,71.25,71.72
313,2004-03-31,71.72,71.35
314,2004-04-01,72.55,73.32
315,2004-04-02,74.4,74.3
316,2004-04-05,74.9,75.99
317,2004-04-06,75.99,75.82
318,2004-04-07,75.95,76.25
319,2004-04-08,76.9,76.27
320,2004-04-12,76.69,76.77
321,2004-04-13,77.35,75.35
322,2004-04-14,75.65,75.05
323,2004-04-15,75.25,74.68
324,2004-04-16,75.15,75.18
325,2004-04-19,75.1,74.98
326,2004-04-20,75.4,73.0
327,2004-04-21,72.99,73.2
328,2004-04-22,73.05,73.7
329,2004-04-23,73.71,73.96
330,2004-04-26,74.3,73.03
331,2004-04-27,73.5,72.66
332,2004-04-28,72.5,71.51
333,2004-04-29,71.66,71.8
334,2004-04-30,72.25,71.65
335,2004-05-03,72.0,71.86
336,2004-05-04,71.65,71.67
337,2004-05-05,71.6,71.5
338,2004-05-06,71.0,71.2
339,2004-05-07,70.75,70.36
340,2004-05-10,69.4,69.75
341,2004-05-11,69.76,70.57
342,2004-05-12,70.1,71.25
343,2004-05-13,71.1,71.01
344,2004-05-14,70.81,70.8
345,2004-05-17,69.9,69.39
346,2004-05-18,69.5,69.43
347,2004-05-19,69.9,69.55
348,2004-05-20,69.56,70.01
349,2004-05-21,70.3,70.15
350,2004-05-24,70.55,69.8
351,2004-05-25,69.72,72.0
352,2004-05-26,71.95,72.11
353,2004-05-27,72.5,72.8
354,2004-05-28,73.1,73.3
355,2004-06-01,73.21,73.0
356,2004-06-02,73.7,73.86
357,2004-06-03,73.8,73.45
358,2004-06-04,74.05,74.1
359,2004-06-07,74.7,74.8
360,2004-06-08,74.65,74.12
361,2004-06-09,73.9,73.38
362,2004-06-10,73.4,73.26
363,2004-06-14,73.1,72.76
364,2004-06-15,73.1,72.15
365,2004-06-16,72.05,72.32
366,2004-06-17,72.15,72.26
367,2004-06-18,72.0,72.17
