,date,open,close
0,2003-01-02,19.19,19.57
1,2003-01-03,19.59,20.52
2,2003-01-06,20.4,20.7
3,2003-01-07,20.83,21.55
4,2003-01-08,21.44,21.02
5,2003-01-09,21.08,21.45
6,2003-01-10,20.96,21.32
7,2003-01-13,21.33,22.04
8,2003-01-14,21.85,22.74
9,2003-01-15,22.59,22.27
10,2003-01-16,21.69,21.8
11,2003-01-17,21.46,21.4
12,2003-01-21,21.25,21.08
13,2003-01-22,20.77,21.17
14,2003-01-23,21.54,21.79
15,2003-01-24,22.59,22.11
16,2003-01-27,21.68,21.78
17,2003-01-28,21.91,21.62
18,2003-01-29,21.91,21.62
19,2003-01-30,22.2,21.82
20,2003-01-31,21.64,21.85
21,2003-02-03,21.94,22.16
22,2003-02-04,21.94,22.05
23,2003-02-05,22.18,22.17
24,2003-02-06,22.16,22.09
25,2003-02-07,22.1,21.44
26,2003-02-10,21.4,21.4
27,2003-02-11,21.56,20.78
28,2003-02-12,20.79,21.03
29,2003-02-13,20.95,20.06
30,2003-02-14,19.99,20.06
31,2003-02-18,20.15,21.39
32,2003-02-19,21.15,21.19
33,2003-02-20,21.19,21.36
34,2003-02-21,21.35,21.78
35,2003-02-24,21.64,21.78
36,2003-02-25,21.5,21.88
37,2003-02-26,21.63,21.64
38,2003-02-27,21.66,21.62
39,2003-02-28,21.57,22.01
40,2003-03-03,22.15,21.81
41,2003-03-04,21.7,22.27
42,2003-03-05,22.08,22.42
43,2003-03-06,22.32,22.69
44,2003-03-07,22.32,22.97
45,2003-03-10,22.6,22.88
46,2003-03-11,22.75,22.78
47,2003-03-12,22.51,23.36
48,2003-03-13,23.68,24.42
49,2003-03-14,24.54,24.71
50,2003-03-17,24.47,26.55
51,2003-03-18,26.46,26.78
52,2003-03-19,26.33,26.54
53,2003-03-20,26.31,27.45
54,2003-03-21,27.71,27.93
55,2003-03-24,27.08,26.23
56,2003-03-25,26.25,26.9
57,2003-03-26,26.88,27.76
58,2003-03-27,27.59,27.77
59,2003-03-28,27.59,27.18
60,2003-03-31,26.57,26.03
61,2003-04-01,25.55,25.54
62,2003-04-02,25.98,26.38
63,2003-04-03,26.51,26.65
64,2003-04-04,26.71,26.22
65,2003-04-07,27.21,26.82
66,2003-04-08,26.79,26.52
67,2003-04-09,26.351,25.06
68,2003-04-10,25.43,25.67
69,2003-04-11,25.85,25.75
70,2003-04-14,24.8,25.05
71,2003-04-15,24.89,25.13
72,2003-04-16,25.3,24.38
73,2003-04-17,24.47,24.99
74,2003-04-21,25.03,25.25
75,2003-04-22,25.09,25.58
76,2003-04-23,26.4,25.43
77,2003-04-24,25.4,25.12
78,2003-04-25,28.0,28.97
79,2003-04-28,28.64,29.11
80,2003-04-29,28.91,28.89
81,2003-04-30,28.6,28.69
82,2003-05-01,28.68,28.66
83,2003-05-02,28.63,29.43
84,2003-05-05,29.47,29.96
85,2003-05-06,29.83,30.88
86,2003-05-07,30.66,30.7
87,2003-05-08,30.36,30.45
