,date,open,close
0,2003-01-02,35.8,36.67
1,2003-01-03,36.69,36.8
2,2003-01-06,36.72,38.09
3,2003-01-07,37.85,37.58
4,2003-01-08,37.59,37.3
5,2003-01-09,37.45,38.09
6,2003-01-10,37.4,38.18
7,2003-01-13,38.77,38.54
8,2003-01-14,38.35,38.43
9,2003-01-15,38.31,37.67
10,2003-01-16,37.8,37.37
11,2003-01-17,37.0,36.93
12,2003-01-21,37.27,35.95
13,2003-01-22,35.76,35.08
14,2003-01-23,35.39,35.27
15,2003-01-24,35.28,33.7
16,2003-01-27,33.27,33.42
17,2003-01-28,34.18,35.02
18,2003-01-29,35.03,35.16
19,2003-01-30,35.16,34.72
20,2003-01-31,34.45,35.53
21,2003-02-03,35.65,35.7
22,2003-02-04,35.25,34.7
23,2003-02-05,35.18,34.65
24,2003-02-06,34.3,33.76
25,2003-02-07,33.77,33.74
26,2003-02-10,33.55,33.57
27,2003-02-11,33.85,33.17
28,2003-02-12,33.18,32.5
29,2003-02-13,32.5,32.55
30,2003-02-14,32.49,33.15
31,2003-02-18,33.6,34.3
32,2003-02-19,34.3,34.25
33,2003-02-20,34.26,33.67
34,2003-02-21,33.65,33.65
35,2003-02-24,33.37,32.98
36,2003-02-25,32.98,33.06
37,2003-02-26,33.07,32.73
38,2003-02-27,33.0,33.08
39,2003-02-28,33.11,33.58
40,2003-03-03,33.8,33.16
41,2003-03-04,33.16,32.76
42,2003-03-05,32.72,33.14
43,2003-03-06,32.89,32.55
44,2003-03-07,32.03,33.07
45,2003-03-10,32.57,31.88
46,2003-03-11,31.88,31.59
47,2003-03-12,31.5,31.49
48,2003-03-13,32.23,33.04
49,2003-03-14,33.39,33.48
50,2003-03-17,33.48,35.66
51,2003-03-18,35.74,36.06
52,2003-03-19,36.85,36.3
53,2003-03-20,36.3,36.7
54,2003-03-21,37.0,37.86
55,2003-03-24,36.9,36.35
56,2003-03-25,36.0,35.26
57,2003-03-26,35.2,35.18
58,2003-03-27,34.8,34.43
59,2003-03-28,34.2,34.22
60,2003-03-31,33.63,33.23
61,2003-04-01,33.24,33.62
62,2003-04-02,34.3,34.74
63,2003-04-03,35.13,34.68
64,2003-04-04,35.09,35.48
65,2003-04-07,36.6,35.77
66,2003-04-08,35.77,35.23
67,2003-04-09,35.0,34.4
68,2003-04-10,34.5,34.87
69,2003-04-11,35.23,34.62
70,2003-04-14,34.65,35.61
71,2003-04-15,35.61,36.9
72,2003-04-16,36.9,36.35
73,2003-04-17,36.36,37.08
74,2003-04-21,37.08,36.47
75,2003-04-22,36.47,37.89
76,2003-04-23,37.87,37.52
77,2003-04-24,36.7,37.05
78,2003-04-25,36.0,36.69
79,2003-04-28,36.94,37.49
80,2003-04-29,37.75,37.73
81,2003-04-30,37.83,37.86
82,2003-05-01,37.86,37.75
83,2003-05-02,37.27,38.46
84,2003-05-05,38.63,38.31
85,2003-05-06,38.45,39.1
86,2003-05-07,39.13,39.01
87,2003-05-08,38.46,38.27
88,2003-05-09,38.58,39.8
89,2003-05-12,39.53,40.42
90,2003-05-13,40.42,40.3
91,2003-05-14,40.55,40.41
92,2003-05-15,40.41,40.99
93,2003-05-16,40.99,40.62
94,2003-05-19,40.15,39.69
95,2003-05-20,39.45,39.66
96,2003-05-21,39.35,40.09
97,2003-05-22,40.09,39.95
98,2003-05-23,39.95,39.99
99,2003-05-27,39.99,40.72
100,2003-05-28,40.72,41.63
101,2003-05-29,41.64,41.03
102,2003-05-30,41.2,41.66
103,2003-06-02,42.0,42.38
104,2003-06-03,42.33,42.35
105,2003-06-04,42.53,43.46
106,2003-06-05,43.46,43.5
107,2003-06-06,43.5,43.18
108,2003-06-09,43.08,42.77
109,2003-06-10,43.07,43.1
110,2003-06-11,43.05,43.65
111,2003-06-12,43.65,43.64
112,2003-06-13,43.75,43.43
113,2003-06-16,43.92,44.59
114,2003-06-17,44.59,44.01
115,2003-06-18,44.01,43.91
116,2003-06-19,44.01,43.04
117,2003-06-20,43.53,42.93
118,2003-06-23,42.93,42.13
119,2003-06-24,42.13,42.53
120,2003-06-25,42.53,42.47
121,2003-06-26,42.54,42.59
122,2003-06-27,42.32,42.42
123,2003-06-30,42.46,41.81
124,2003-07-01,41.71,41.91
125,2003-07-02,41.91,42.29
126,2003-07-03,41.98,42.27
127,2003-07-07,42.98,43.57
128,2003-07-08,43.55,44.22
129,2003-07-09,44.1,43.81
130,2003-07-10,43.45,43.29
131,2003-07-11,43.32,43.96
132,2003-07-14,44.94,45.4
133,2003-07-15,46.0,45.14
134,2003-07-16,45.75,45.54
135,2003-07-17,45.1,44.82
136,2003-07-18,45.25,45.54
137,2003-07-21,45.45,44.46
138,2003-07-22,44.52,44.77
139,2003-07-23,44.9,44.68
140,2003-07-24,45.08,44.4
141,2003-07-25,44.39,45.6
142,2003-07-28,45.85,45.01
143,2003-07-29,45.15,44.85
144,2003-07-30,44.65,44.35
145,2003-07-31,44.65,44.17
146,2003-08-01,44.15,43.42
147,2003-08-04,43.42,43.67
148,2003-08-05,43.15,42.45
149,2003-08-06,42.45,43.55
150,2003-08-07,43.8,44.24
151,2003-08-08,44.35,44.38
152,2003-08-11,44.38,44.08
153,2003-08-12,44.27,44.9
154,2003-08-13,44.95,44.79
155,2003-08-14,44.93,45.55
156,2003-08-15,45.74,45.5
157,2003-08-18,45.5,45.6
158,2003-08-19,45.7,45.79
159,2003-08-20,45.79,45.47
160,2003-08-21,45.61,45.93
161,2003-08-22,46.23,45.42
162,2003-08-25,45.32,45.13
163,2003-08-26,44.79,44.55
164,2003-08-27,44.99,44.47
165,2003-08-28,44.57,44.95
166,2003-08-29,44.7,45.05
167,2003-09-02,45.08,45.58
168,2003-09-03,45.58,45.66
169,2003-09-04,45.34,45.49
170,2003-09-05,45.49,45.2
171,2003-09-08,45.3,45.7
172,2003-09-09,45.28,45.56
173,2003-09-10,45.52,45.05
174,2003-09-11,45.25,45.43
175,2003-09-12,45.2,44.9
176,2003-09-15,44.85,44.64
177,2003-09-16,44.69,45.25
178,2003-09-17,45.2,45.35
179,2003-09-18,45.64,47.08
180,2003-09-19,46.75,47.05
181,2003-09-22,47.05,46.62
182,2003-09-23,46.57,47.01
183,2003-09-24,47.02,45.9
184,2003-09-25,45.85,45.61
185,2003-09-26,45.36,44.86
186,2003-09-29,44.96,45.58
187,2003-09-30,45.35,45.06
188,2003-10-01,45.24,46.06
189,2003-10-02,46.05,46.17
190,2003-10-03,46.88,46.58
191,2003-10-06,46.59,46.54
