,date,open,close
0,2003-01-02,69.91,70.68
1,2003-01-03,70.1,70.24
2,2003-01-06,69.65,71.25
3,2003-01-07,71.26,71.36
4,2003-01-08,71.37,71.07
5,2003-01-09,71.4,72.0
6,2003-01-10,71.27,71.8
7,2003-01-13,72.05,72.38
8,2003-01-14,72.05,72.48
9,2003-01-15,72.48,71.45
10,2003-01-16,71.29,71.0
11,2003-01-17,70.48,71.48
12,2003-01-21,71.25,70.73
13,2003-01-22,70.74,70.9
14,2003-01-23,71.07,71.6
15,2003-01-24,71.6,69.62
16,2003-01-27,69.6,68.62
17,2003-01-28,68.63,69.1
18,2003-01-29,69.1,69.59
19,2003-01-30,69.2,68.71
20,2003-01-31,68.71,70.05
21,2003-02-03,70.05,70.03
22,2003-02-04,70.04,68.64
23,2003-02-05,69.0,68.5
24,2003-02-06,68.51,68.42
25,2003-02-07,68.43,67.94
26,2003-02-10,67.94,68.21
27,2003-02-11,68.21,67.73
28,2003-02-12,67.74,67.2
29,2003-02-13,67.4,67.6
30,2003-02-14,67.45,68.87
31,2003-02-18,68.87,69.81
32,2003-02-19,69.8,69.75
33,2003-02-20,69.75,69.46
34,2003-02-21,69.6,70.36
35,2003-02-24,70.0,68.67
36,2003-02-25,68.25,69.07
37,2003-02-26,69.07,68.33
38,2003-02-27,68.33,69.2
39,2003-02-28,69.25,69.24
40,2003-03-03,69.45,68.58
41,2003-03-04,68.67,68.05
42,2003-03-05,67.65,68.34
43,2003-03-06,68.34,68.15
44,2003-03-07,67.11,68.99
45,2003-03-10,68.25,66.84
46,2003-03-11,66.84,65.63
47,2003-03-12,65.45,65.84
48,2003-03-13,66.5,67.6
49,2003-03-14,67.85,67.31
50,2003-03-17,67.31,69.12
51,2003-03-18,69.13,68.34
52,2003-03-19,68.4,69.5
53,2003-03-20,69.5,69.52
54,2003-03-21,69.52,70.5
55,2003-03-24,69.25,68.8
56,2003-03-25,69.09,69.31
57,2003-03-26,69.43,68.55
58,2003-03-27,68.55,68.29
59,2003-03-28,68.29,68.58
60,2003-03-31,67.01,66.84
61,2003-04-01,67.45,68.0
62,2003-04-02,69.25,69.82
63,2003-04-03,70.0,69.19
64,2003-04-04,69.55,70.0
65,2003-04-07,70.7,69.44
66,2003-04-08,69.44,70.85
67,2003-04-09,70.04,70.16
68,2003-04-10,70.55,71.21
69,2003-04-11,70.57,71.34
70,2003-04-14,71.54,72.0
71,2003-04-15,72.0,72.68
72,2003-04-16,72.85,71.99
73,2003-04-17,71.99,72.88
74,2003-04-21,72.88,72.8
75,2003-04-22,72.52,74.24
76,2003-04-23,73.7,74.55
77,2003-04-24,73.57,73.56
78,2003-04-25,73.17,72.58
79,2003-04-28,72.65,73.67
80,2003-04-29,73.72,73.74
81,2003-04-30,73.63,74.05
82,2003-05-01,74.05,74.25
83,2003-05-02,74.05,74.91
84,2003-05-05,74.57,74.14
85,2003-05-06,74.15,74.41
86,2003-05-07,74.41,74.26
87,2003-05-08,73.8,73.69
88,2003-05-09,74.15,74.0
89,2003-05-12,73.83,74.51
90,2003-05-13,74.51,74.32
91,2003-05-14,74.5,73.94
92,2003-05-15,74.2,74.42
93,2003-05-16,73.83,74.16
94,2003-05-19,74.16,72.47
95,2003-05-20,72.65,72.51
96,2003-05-21,72.33,73.05
97,2003-05-22,73.0,73.12
98,2003-05-23,73.12,73.75
99,2003-05-27,73.25,74.99
100,2003-05-28,74.78,74.34
101,2003-05-29,74.0,73.58
102,2003-05-30,73.88,74.2
103,2003-06-02,74.7,74.13
104,2003-06-03,74.28,75.71
105,2003-06-04,75.1,76.66
106,2003-06-05,75.47,76.72
107,2003-06-06,77.25,76.92
108,2003-06-09,76.3,75.83
109,2003-06-10,75.83,77.1
110,2003-06-11,77.27,78.39
111,2003-06-12,78.39,78.44
112,2003-06-13,78.43,78.49
113,2003-06-16,78.63,79.89
114,2003-06-17,79.95,79.84
115,2003-06-18,79.84,79.73
116,2003-06-19,79.73,78.41
117,2003-06-20,78.66,78.91
118,2003-06-23,78.92,77.92
119,2003-06-24,77.92,77.55
120,2003-06-25,77.4,78.65
121,2003-06-26,78.6,79.66
