,date,open,close
0,2003-01-02,37.05,37.83
1,2003-01-03,37.83,38.15
2,2003-01-06,38.25,39.13
3,2003-01-07,38.9,38.78
4,2003-01-08,38.25,38.03
5,2003-01-09,37.9,38.42
6,2003-01-10,38.5,38.5
7,2003-01-13,38.45,38.55
8,2003-01-14,38.61,38.95
9,2003-01-15,38.99,38.77
10,2003-01-16,38.75,38.72
11,2003-01-17,38.3,37.95
12,2003-01-21,37.85,37.66
13,2003-01-22,37.45,37.12
14,2003-01-23,37.07,37.63
15,2003-01-24,36.48,36.15
16,2003-01-27,35.25,35.05
17,2003-01-28,35.1,35.24
18,2003-01-29,35.1,35.24
19,2003-01-30,35.7,35.36
20,2003-01-31,35.15,35.4
21,2003-02-03,35.55,35.63
22,2003-02-04,34.75,34.79
23,2003-02-05,35.7,35.63
24,2003-02-06,35.4,35.23
25,2003-02-07,35.45,34.78
26,2003-02-10,35.0,35.2
27,2003-02-11,35.12,35.1
28,2003-02-12,35.75,35.6
29,2003-02-13,35.56,35.64
30,2003-02-14,35.74,36.4
31,2003-02-18,35.7,36.16
32,2003-02-19,36.01,35.98
33,2003-02-20,36.23,36.43
34,2003-02-21,36.0,36.32
35,2003-02-24,36.65,36.31
36,2003-02-25,35.9,36.1
37,2003-02-26,35.82,35.48
38,2003-02-27,35.98,36.06
39,2003-02-28,36.1,35.95
40,2003-03-03,36.2,36.4
41,2003-03-04,36.15,36.04
42,2003-03-05,35.75,35.81
43,2003-03-06,35.15,35.21
44,2003-03-07,34.96,34.95
45,2003-03-10,34.86,34.46
46,2003-03-11,33.86,33.73
47,2003-03-12,33.93,34.42
48,2003-03-13,34.43,34.71
49,2003-03-14,35.75,35.44
50,2003-03-17,35.13,36.24
51,2003-03-18,36.29,36.32
52,2003-03-19,36.4,36.53
53,2003-03-20,35.95,36.28
54,2003-03-21,36.38,36.6
55,2003-03-24,37.0,36.72
56,2003-03-25,36.12,36.37
57,2003-03-26,36.27,36.7
58,2003-03-27,36.7,36.86
59,2003-03-28,35.95,36.05
60,2003-03-31,35.2,35.09
61,2003-04-01,35.09,35.44
62,2003-04-02,35.61,36.1
63,2003-04-03,36.1,36.1
64,2003-04-04,35.85,35.64
65,2003-04-07,36.05,36.14
66,2003-04-08,35.9,35.35
67,2003-04-09,35.35,35.26
68,2003-04-10,35.5,35.5
69,2003-04-11,34.4,34.49
70,2003-04-14,34.14,34.48
71,2003-04-15,34.8,35.05
72,2003-04-16,35.0,35.17
73,2003-04-17,35.23,35.25
74,2003-04-21,35.02,35.16
75,2003-04-22,35.17,35.79
76,2003-04-23,35.8,36.59
77,2003-04-24,37.6,37.28
78,2003-04-25,38.75,38.55
79,2003-04-28,39.25,39.65
80,2003-04-29,39.55,39.55
81,2003-04-30,39.8,40.11
82,2003-05-01,39.86,39.76
83,2003-05-02,40.0,41.05
84,2003-05-05,41.05,41.17
85,2003-05-06,41.82,42.42
86,2003-05-07,42.0,41.63
87,2003-05-08,41.0,40.81
88,2003-05-09,42.1,42.49
89,2003-05-12,41.5,41.73
90,2003-05-13,40.9,40.98
91,2003-05-14,40.71,40.31
92,2003-05-15,40.25,40.42
93,2003-05-16,40.27,40.15
94,2003-05-19,40.05,39.84
95,2003-05-20,40.25,40.58
96,2003-05-21,39.5,39.61
97,2003-05-22,39.9,40.55
98,2003-05-23,41.15,41.1
99,2003-05-27,40.6,40.93
100,2003-05-28,40.53,41.1
101,2003-05-29,41.55,42.07
102,2003-05-30,42.1,42.74
103,2003-06-02,43.5,43.88
104,2003-06-03,43.66,44.09
105,2003-06-04,43.3,43.5
106,2003-06-05,43.0,43.0
107,2003-06-06,44.4,43.91
108,2003-06-09,44.15,43.76
109,2003-06-10,43.81,44.21
110,2003-06-11,46.06,46.62
111,2003-06-12,47.0,46.86
112,2003-06-13,47.0,46.71
113,2003-06-16,46.41,46.81
114,2003-06-17,48.8,48.41
115,2003-06-18,48.22,48.2
116,2003-06-19,47.8,47.41
117,2003-06-20,47.46,47.48
118,2003-06-23,47.3,46.6
119,2003-06-24,46.05,46.71
120,2003-06-25,46.63,46.0
121,2003-06-26,46.14,46.12
122,2003-06-27,46.12,46.1
123,2003-06-30,46.0,45.65
124,2003-07-01,45.92,47.2
125,2003-07-02,47.75,48.59
126,2003-07-03,49.8,49.5
127,2003-07-07,50.58,52.02
128,2003-07-08,50.94,51.1
129,2003-07-09,49.7,49.91
130,2003-07-10,48.99,48.58
131,2003-07-11,47.5,48.25
132,2003-07-14,48.82,49.08
133,2003-07-15,48.85,48.49
134,2003-07-16,48.7,49.34
135,2003-07-17,47.26,47.6
136,2003-07-18,47.25,47.15
137,2003-07-21,46.55,45.86
138,2003-07-22,45.76,46.68
139,2003-07-23,46.2,46.29
140,2003-07-24,46.52,46.29
141,2003-07-25,46.23,47.8
142,2003-07-28,47.24,47.4
143,2003-07-29,48.05,47.88
144,2003-07-30,47.4,47.38
145,2003-07-31,48.91,49.01
146,2003-08-01,47.8,48.06
147,2003-08-04,46.89,46.8
148,2003-08-05,46.0,46.15
149,2003-08-06,46.2,46.3
150,2003-08-07,46.55,46.78
151,2003-08-08,46.65,46.91
152,2003-08-11,47.7,47.76
153,2003-08-12,47.59,47.45
154,2003-08-13,47.12,47.2
155,2003-08-14,47.35,48.1
156,2003-08-15,46.9,47.24
157,2003-08-18,47.24,47.42
158,2003-08-19,48.5,48.49
159,2003-08-20,48.75,48.6
160,2003-08-21,48.91,49.42
