,date,open,close
0,2003-01-02,45.95,47.75
1,2003-01-03,47.65,47.43
2,2003-01-06,47.55,48.4
3,2003-01-07,48.4,47.85
4,2003-01-08,47.86,46.4
5,2003-01-09,46.6,47.34
6,2003-01-10,46.94,47.42
7,2003-01-13,47.85,47.7
8,2003-01-14,47.45,47.39
9,2003-01-15,47.6,47.18
10,2003-01-16,46.95,47.26
11,2003-01-17,47.05,47.05
12,2003-01-21,47.4,46.07
13,2003-01-22,46.08,44.45
14,2003-01-23,44.75,45.48
15,2003-01-24,45.48,43.92
16,2003-01-27,43.8,43.25
17,2003-01-28,43.35,43.83
18,2003-01-29,43.35,43.83
19,2003-01-30,44.3,43.05
20,2003-01-31,42.75,43.98
21,2003-02-03,44.35,44.25
22,2003-02-04,44.0,43.74
23,2003-02-05,44.15,43.66
24,2003-02-06,43.5,42.97
25,2003-02-07,43.3,42.63
26,2003-02-10,42.45,42.58
27,2003-02-11,43.05,42.58
28,2003-02-12,42.65,42.04
29,2003-02-13,41.95,42.12
30,2003-02-14,42.12,43.25
31,2003-02-18,43.35,44.55
32,2003-02-19,45.4,45.95
33,2003-02-20,46.15,46.3
34,2003-02-21,46.3,46.54
35,2003-02-24,46.29,45.81
36,2003-02-25,45.43,45.82
37,2003-02-26,45.65,45.75
38,2003-02-27,46.0,46.72
39,2003-02-28,46.95,47.0
40,2003-03-03,47.01,47.08
41,2003-03-04,46.9,45.22
42,2003-03-05,45.22,45.63
43,2003-03-06,45.64,44.6
44,2003-03-07,43.75,45.8
45,2003-03-10,45.35,44.79
46,2003-03-11,44.8,44.5
47,2003-03-12,44.35,44.22
48,2003-03-13,45.15,46.93
49,2003-03-14,46.95,47.02
50,2003-03-17,46.95,50.23
51,2003-03-18,50.23,49.8
52,2003-03-19,49.5,49.79
53,2003-03-20,49.79,50.62
54,2003-03-21,50.75,52.55
55,2003-03-24,52.56,50.73
56,2003-03-25,51.0,51.0
57,2003-03-26,51.0,50.2
58,2003-03-27,49.75,50.72
59,2003-03-28,50.72,50.24
60,2003-03-31,49.25,49.2
61,2003-04-01,49.2,49.65
62,2003-04-02,50.85,51.71
63,2003-04-03,52.2,51.8
64,2003-04-04,51.8,51.47
65,2003-04-07,52.49,51.7
66,2003-04-08,51.95,52.1
67,2003-04-09,51.56,51.71
68,2003-04-10,51.71,52.83
69,2003-04-11,53.5,52.98
70,2003-04-14,52.98,53.64
71,2003-04-15,53.15,52.7
72,2003-04-16,53.25,51.41
73,2003-04-17,51.42,51.98
74,2003-04-21,52.2,51.84
75,2003-04-22,51.2,52.96
76,2003-04-23,52.71,52.86
77,2003-04-24,52.3,52.75
78,2003-04-25,52.75,51.93
79,2003-04-28,51.7,52.78
80,2003-04-29,52.81,52.39
81,2003-04-30,52.37,52.6
82,2003-05-01,52.6,51.85
83,2003-05-02,51.75,52.35
84,2003-05-05,52.55,52.68
85,2003-05-06,52.77,53.9
86,2003-05-07,53.45,53.33
87,2003-05-08,53.21,51.97
88,2003-05-09,52.0,53.15
89,2003-05-12,53.25,54.25
90,2003-05-13,54.1,53.17
91,2003-05-14,53.35,52.79
92,2003-05-15,53.3,53.4
93,2003-05-16,53.4,52.97
94,2003-05-19,52.65,51.5
95,2003-05-20,51.5,51.25
96,2003-05-21,51.1,50.43
97,2003-05-22,50.7,51.22
98,2003-05-23,51.25,51.0
99,2003-05-27,50.75,52.51
100,2003-05-28,52.6,52.51
101,2003-05-29,52.52,50.5
102,2003-05-30,51.0,52.15
103,2003-06-02,52.5,52.18
104,2003-06-03,52.18,52.95
105,2003-06-04,53.0,53.92
106,2003-06-05,53.92,54.37
107,2003-06-06,54.63,54.61
108,2003-06-09,54.54,54.22
109,2003-06-10,54.7,54.62
110,2003-06-11,54.85,56.66
111,2003-06-12,56.66,56.13
112,2003-06-13,56.04,56.05
113,2003-06-16,56.75,57.89
114,2003-06-17,57.99,57.76
115,2003-06-18,57.5,57.02
