,date,open,close
0,2003-01-02,23.43,24.8
1,2003-01-03,24.63,24.5
2,2003-01-06,24.71,25.97
3,2003-01-07,25.5,25.89
4,2003-01-08,25.72,25.39
5,2003-01-09,25.49,26.69
6,2003-01-10,26.2,27.48
7,2003-01-13,27.62,27.54
8,2003-01-14,27.51,28.38
9,2003-01-15,28.18,28.39
10,2003-01-16,28.29,27.92
11,2003-01-17,27.5,26.94
12,2003-01-21,26.84,26.03
13,2003-01-22,25.49,26.06
14,2003-01-23,25.97,27.27
15,2003-01-24,27.28,26.1
16,2003-01-27,25.86,25.84
17,2003-01-28,26.04,26.45
18,2003-01-29,26.04,26.45
19,2003-01-30,27.09,26.15
20,2003-01-31,25.77,26.63
21,2003-02-03,26.65,26.05
22,2003-02-04,25.92,24.99
23,2003-02-05,25.24,25.41
24,2003-02-06,25.15,26.4
25,2003-02-07,26.47,25.33
26,2003-02-10,25.49,25.44
27,2003-02-11,25.6,25.29
28,2003-02-12,25.14,24.47
29,2003-02-13,24.57,24.83
30,2003-02-14,24.91,26.06
31,2003-02-18,26.2,26.99
32,2003-02-19,26.79,26.23
33,2003-02-20,26.43,25.99
34,2003-02-21,26.32,26.78
35,2003-02-24,26.95,25.47
36,2003-02-25,25.1,27.12
37,2003-02-26,27.14,26.5
38,2003-02-27,26.87,28.37
39,2003-02-28,28.26,29.22
40,2003-03-03,28.97,28.44
41,2003-03-04,28.32,28.04
42,2003-03-05,28.15,28.6
43,2003-03-06,28.17,27.6
44,2003-03-07,27.0,28.14
45,2003-03-10,28.0,27.32
46,2003-03-11,27.55,26.89
47,2003-03-12,26.59,26.74
48,2003-03-13,27.21,28.25
49,2003-03-14,28.23,28.51
50,2003-03-17,28.54,29.38
51,2003-03-18,29.53,29.22
52,2003-03-19,29.34,29.91
53,2003-03-20,29.44,29.86
54,2003-03-21,30.51,30.8
55,2003-03-24,30.0,28.62
56,2003-03-25,28.76,29.31
57,2003-03-26,29.43,29.09
58,2003-03-27,28.87,29.57
59,2003-03-28,29.33,29.27
60,2003-03-31,28.77,28.59
61,2003-04-01,28.88,29.25
62,2003-04-02,29.62,29.63
63,2003-04-03,29.74,29.24
64,2003-04-04,29.27,29.88
65,2003-04-07,30.73,29.56
66,2003-04-08,29.54,29.65
67,2003-04-09,29.9,29.08
68,2003-04-10,29.11,29.74
69,2003-04-11,30.21,28.65
70,2003-04-14,28.73,29.59
71,2003-04-15,29.5,30.08
72,2003-04-16,30.16,29.76
73,2003-04-17,29.66,30.47
74,2003-04-21,30.34,30.5
75,2003-04-22,30.45,31.75
76,2003-04-23,31.79,32.12
77,2003-04-24,31.57,31.98
78,2003-04-25,32.01,31.73
79,2003-04-28,31.46,31.69
