,date,open,close
0,2003-01-02,48.8,49.33
1,2003-01-03,49.53,49.4
2,2003-01-06,49.5,50.33
3,2003-01-07,49.85,48.44
4,2003-01-08,48.44,47.59
5,2003-01-09,47.35,48.01
6,2003-01-10,47.8,46.69
7,2003-01-13,46.9,47.17
8,2003-01-14,47.25,47.74
9,2003-01-15,47.75,47.72
10,2003-01-16,48.22,48.25
11,2003-01-17,48.26,48.11
12,2003-01-21,47.56,47.4
13,2003-01-22,47.3,47.46
14,2003-01-23,47.6,47.55
15,2003-01-24,47.35,46.37
16,2003-01-27,46.37,45.31
17,2003-01-28,45.6,45.91
18,2003-01-29,45.6,45.91
19,2003-01-30,48.01,47.45
20,2003-01-31,47.3,48.19
21,2003-02-03,48.19,49.58
22,2003-02-04,49.58,50.05
23,2003-02-05,50.44,49.41
24,2003-02-06,49.42,48.85
25,2003-02-07,48.95,48.66
26,2003-02-10,48.45,48.81
27,2003-02-11,49.0,48.51
28,2003-02-12,48.15,47.88
29,2003-02-13,47.95,47.93
30,2003-02-14,48.0,48.72
31,2003-02-18,48.7,49.27
32,2003-02-19,49.47,49.49
33,2003-02-20,49.5,48.58
34,2003-02-21,48.7,49.94
35,2003-02-24,50.0,49.67
36,2003-02-25,49.67,49.96
37,2003-02-26,49.96,50.28
38,2003-02-27,50.96,50.7
39,2003-02-28,51.15,50.7
40,2003-03-03,51.1,51.75
41,2003-03-04,51.75,51.5
42,2003-03-05,51.5,51.38
43,2003-03-06,51.0,50.81
44,2003-03-07,50.81,51.6
45,2003-03-10,51.6,50.93
46,2003-03-11,51.05,50.71
47,2003-03-12,50.71,49.7
48,2003-03-13,50.35,50.26
49,2003-03-14,50.36,50.58
50,2003-03-17,50.58,51.0
51,2003-03-18,51.0,50.92
52,2003-03-19,51.2,51.38
53,2003-03-20,51.38,52.08
54,2003-03-21,52.3,51.65
55,2003-03-24,51.66,51.08
56,2003-03-25,51.5,52.02
57,2003-03-26,52.12,51.87
58,2003-03-27,51.88,52.65
59,2003-03-28,52.6,53.59
60,2003-03-31,53.59,53.6
61,2003-04-01,53.8,54.02
62,2003-04-02,54.0,53.35
63,2003-04-03,53.44,52.31
64,2003-04-04,53.0,52.6
65,2003-04-07,52.95,51.73
66,2003-04-08,51.2,51.25
67,2003-04-09,51.35,50.9
68,2003-04-10,50.9,51.0
69,2003-04-11,51.1,51.07
70,2003-04-14,51.0,51.3
71,2003-04-15,51.35,51.21
72,2003-04-16,51.3,50.77
73,2003-04-17,50.77,51.25
74,2003-04-21,51.05,51.07
75,2003-04-22,51.07,51.75
76,2003-04-23,51.7,51.59
77,2003-04-24,51.52,50.83
78,2003-04-25,50.88,50.41
79,2003-04-28,50.1,50.63
80,2003-04-29,50.8,50.05
81,2003-04-30,50.03,50.3
82,2003-05-01,50.54,50.33
83,2003-05-02,50.7,51.5
84,2003-05-05,51.5,51.55
85,2003-05-06,51.55,51.6
86,2003-05-07,51.74,51.9
87,2003-05-08,51.8,51.37
88,2003-05-09,51.33,50.8
89,2003-05-12,50.83,51.38
90,2003-05-13,51.46,52.05
91,2003-05-14,52.15,51.8
92,2003-05-15,51.9,52.0
93,2003-05-16,52.0,52.09
94,2003-05-19,51.98,51.76
95,2003-05-20,52.1,51.93
96,2003-05-21,51.93,53.15
97,2003-05-22,52.97,52.9
98,2003-05-23,52.9,53.16
99,2003-05-27,53.16,54.4
100,2003-05-28,54.42,53.83
