,date,open,close
0,2003-01-02,13.11,13.64
1,2003-01-03,13.58,13.91
2,2003-01-06,14.01,14.2
3,2003-01-07,14.3,14.6
4,2003-01-08,14.48,14.44
5,2003-01-09,14.71,14.95
6,2003-01-10,14.84,15.22
7,2003-01-13,15.47,15.28
8,2003-01-14,15.3,15.58
9,2003-01-15,15.57,15.18
10,2003-01-16,15.08,14.9
11,2003-01-17,14.7,14.13
12,2003-01-21,14.22,14.18
13,2003-01-22,14.19,13.96
14,2003-01-23,14.28,14.59
15,2003-01-24,14.55,13.86
16,2003-01-27,13.61,13.71
17,2003-01-28,13.88,14.22
18,2003-01-29,13.88,14.22
19,2003-01-30,14.25,13.87
20,2003-01-31,13.56,13.37
21,2003-02-03,13.52,13.48
22,2003-02-04,13.24,13.2
23,2003-02-05,13.31,13.2
24,2003-02-06,13.11,13.24
25,2003-02-07,13.34,12.85
26,2003-02-10,12.93,13.15
27,2003-02-11,13.32,13.47
28,2003-02-12,13.44,13.2
29,2003-02-13,13.21,13.31
30,2003-02-14,13.39,13.68
31,2003-02-18,13.93,14.31
32,2003-02-19,14.24,14.42
33,2003-02-20,14.48,14.26
34,2003-02-21,14.23,14.67
35,2003-02-24,14.54,14.42
36,2003-02-25,13.95,14.08
37,2003-02-26,14.05,13.51
38,2003-02-27,13.64,13.75
39,2003-02-28,13.76,13.98
40,2003-03-03,14.16,13.72
41,2003-03-04,13.72,13.63
42,2003-03-05,13.69,13.74
43,2003-03-06,13.45,13.48
44,2003-03-07,13.15,13.24
45,2003-03-10,13.15,13.01
46,2003-03-11,13.05,13.02
47,2003-03-12,12.88,12.69
48,2003-03-13,12.98,13.42
49,2003-03-14,13.57,13.4
50,2003-03-17,13.21,14.13
51,2003-03-18,14.21,14.2
52,2003-03-19,14.31,14.22
53,2003-03-20,13.97,14.04
54,2003-03-21,14.28,13.9
55,2003-03-24,13.54,13.51
56,2003-03-25,13.5,13.72
57,2003-03-26,13.7,13.66
58,2003-03-27,13.58,13.5
59,2003-03-28,13.41,13.22
60,2003-03-31,13.02,12.98
61,2003-04-01,13.04,12.98
62,2003-04-02,13.37,13.64
63,2003-04-03,13.89,13.64
64,2003-04-04,13.86,13.71
65,2003-04-07,14.33,13.57
66,2003-04-08,13.68,13.43
67,2003-04-09,13.44,13.04
68,2003-04-10,13.09,13.04
69,2003-04-11,13.51,13.21
70,2003-04-14,13.24,13.47
71,2003-04-15,13.45,13.34
72,2003-04-16,13.64,13.56
73,2003-04-17,13.52,13.95
74,2003-04-21,13.959000000000001,13.94
75,2003-04-22,13.87,14.32
76,2003-04-23,14.37,14.33
77,2003-04-24,14.25,14.35
78,2003-04-25,14.46,14.34
79,2003-04-28,14.44,14.98
80,2003-04-29,15.13,15.14
81,2003-04-30,15.19,15.0
82,2003-05-01,15.04,15.12
83,2003-05-02,15.1,15.27
84,2003-05-05,15.57,15.389000000000001
85,2003-05-06,15.49,15.9
86,2003-05-07,15.58,15.48
87,2003-05-08,15.16,15.22
88,2003-05-09,15.45,15.95
89,2003-05-12,16.33,16.67
90,2003-05-13,16.27,16.47
91,2003-05-14,16.71,16.42
92,2003-05-15,16.5,16.75
93,2003-05-16,16.75,16.63
94,2003-05-19,16.43,15.94
95,2003-05-20,16.11,15.99
96,2003-05-21,15.77,15.7
97,2003-05-22,15.8,15.92
98,2003-05-23,15.91,15.69
99,2003-05-27,15.56,16.15
100,2003-05-28,16.4,16.28
101,2003-05-29,16.38,16.62
102,2003-05-30,16.8,16.41
103,2003-06-02,16.99,16.8
104,2003-06-03,16.89,17.01
105,2003-06-04,17.09,17.37
106,2003-06-05,17.24,17.369
107,2003-06-06,17.96,17.36
108,2003-06-09,17.2,17.23
109,2003-06-10,17.36,17.4
110,2003-06-11,17.33,17.6
111,2003-06-12,17.72,17.78
112,2003-06-13,17.79,17.41
113,2003-06-16,17.47,17.977999999999998
114,2003-06-17,18.1,17.98
115,2003-06-18,18.03,18.73
116,2003-06-19,18.7,18.56
117,2003-06-20,18.55,17.93
118,2003-06-23,17.93,17.24
119,2003-06-24,16.96,16.749000000000002
120,2003-06-25,16.95,16.87
121,2003-06-26,17.05,17.13
122,2003-06-27,17.15,16.89
123,2003-06-30,17.08,16.79
124,2003-07-01,16.76,17.24
125,2003-07-02,17.48,17.86
126,2003-07-03,17.67,17.5
127,2003-07-07,17.9,18.22
128,2003-07-08,18.19,18.73
129,2003-07-09,18.98,18.8
130,2003-07-10,18.52,18.31
131,2003-07-11,18.38,18.57
132,2003-07-14,19.05,18.61
133,2003-07-15,18.94,18.51
134,2003-07-16,18.748,18.23
135,2003-07-17,17.99,17.76
136,2003-07-18,18.11,17.889
137,2003-07-21,18.03,17.93
138,2003-07-22,18.13,18.67
139,2003-07-23,18.76,18.88
140,2003-07-24,19.02,18.58
141,2003-07-25,18.68,19.08
142,2003-07-28,19.21,19.08
143,2003-07-29,19.14,19.16
144,2003-07-30,19.2,19.28
145,2003-07-31,19.47,19.49
146,2003-08-01,19.42,19.15
147,2003-08-04,19.32,19.26
148,2003-08-05,19.24,18.86
149,2003-08-06,17.92,17.65
150,2003-08-07,17.66,17.53
151,2003-08-08,17.67,17.58
152,2003-08-11,17.61,17.71
153,2003-08-12,17.76,17.83
154,2003-08-13,17.94,17.59
155,2003-08-14,17.59,17.8
156,2003-08-15,17.74,17.79
157,2003-08-18,17.9,18.27
158,2003-08-19,18.44,18.55
159,2003-08-20,18.38,18.570999999999998
160,2003-08-21,18.88,18.87
161,2003-08-22,19.23,18.79
162,2003-08-25,18.69,18.98
163,2003-08-26,18.89,19.1
164,2003-08-27,19.15,19.01
165,2003-08-28,19.24,19.19
166,2003-08-29,19.1,19.14
167,2003-09-02,19.32,19.59
168,2003-09-03,20.03,20.24
169,2003-09-04,20.49,20.59
170,2003-09-05,20.38,20.42
171,2003-09-08,20.54,20.86
172,2003-09-09,20.93,20.78
173,2003-09-10,20.63,20.46
174,2003-09-11,20.47,20.71
175,2003-09-12,20.66,20.66
176,2003-09-15,20.72,20.39
177,2003-09-16,20.42,21.29
178,2003-09-17,21.26,21.14
179,2003-09-18,21.12,21.42
180,2003-09-19,21.46,21.02
181,2003-09-22,20.62,20.78
182,2003-09-23,20.76,21.15
183,2003-09-24,21.4,20.32
184,2003-09-25,20.27,20.06
185,2003-09-26,20.0,19.96
186,2003-09-29,20.1,20.2
187,2003-09-30,20.06,19.59
188,2003-10-01,19.68,20.2
189,2003-10-02,20.24,19.99
190,2003-10-03,20.45,20.76
191,2003-10-06,20.87,20.8
192,2003-10-07,20.61,21.0
193,2003-10-08,21.05,20.79
194,2003-10-09,21.08,20.95
195,2003-10-10,21.03,20.79
196,2003-10-13,21.03,21.0
197,2003-10-14,20.84,21.14
198,2003-10-15,21.37,21.02
199,2003-10-16,20.935,21.04
200,2003-10-17,21.01,20.64
201,2003-10-20,20.75,21.08
202,2003-10-21,21.24,21.11
203,2003-10-22,20.87,20.63
204,2003-10-23,20.05,20.16
205,2003-10-24,20.05,19.8
206,2003-10-27,19.86,19.93
207,2003-10-28,20.09,20.9
208,2003-10-29,20.89,20.82
209,2003-10-30,21.08,20.86
210,2003-10-31,20.98,20.93
211,2003-11-03,21.18,21.71
212,2003-11-04,21.85,21.58
213,2003-11-05,21.62,21.8
214,2003-11-06,22.96,22.9
215,2003-11-07,22.91,22.34
216,2003-11-10,22.36,22.19
217,2003-11-11,22.15,22.35
218,2003-11-12,22.41,22.97
219,2003-11-13,22.66,22.7
220,2003-11-14,22.72,22.26
221,2003-11-17,22.0,22.05
222,2003-11-18,22.25,21.73
223,2003-11-19,21.7,22.05
224,2003-11-20,21.9,21.94
225,2003-11-21,22.12,22.17
226,2003-11-24,22.38,22.8
227,2003-11-25,22.86,22.62
228,2003-11-26,22.81,22.81
229,2003-11-28,22.71,22.7
230,2003-12-01,22.92,23.18
231,2003-12-02,23.11,23.11
232,2003-12-03,23.22,23.3
233,2003-12-04,23.72,23.98
234,2003-12-05,23.8,23.75
235,2003-12-08,23.73,24.29
236,2003-12-09,24.37,23.23
237,2003-12-10,23.4,23.78
238,2003-12-11,23.69,23.93
239,2003-12-12,23.88,24.09
240,2003-12-15,24.54,23.98
241,2003-12-16,23.76,23.77
242,2003-12-17,23.78,23.49
243,2003-12-18,23.52,24.17
244,2003-12-19,24.23,23.79
245,2003-12-22,23.88,23.98
246,2003-12-23,23.9,23.94
247,2003-12-24,23.89,23.87
248,2003-12-26,23.83,23.75
249,2003-12-29,23.78,24.4
250,2003-12-30,24.31,24.12
251,2003-12-31,24.17,24.23
252,2004-01-02,24.36,24.25
253,2004-01-05,24.4,24.77
254,2004-01-06,24.83,25.06
255,2004-01-07,25.17,25.56
256,2004-01-08,25.84,26.34
257,2004-01-09,25.99,26.48
258,2004-01-12,26.58,27.03
259,2004-01-13,27.07,26.89
260,2004-01-14,27.02,27.4
261,2004-01-15,27.35,27.16
262,2004-01-16,27.92,29.13
263,2004-01-20,29.37,28.86
264,2004-01-21,28.51,28.6
265,2004-01-22,28.52,28.22
266,2004-01-23,28.25,27.33
267,2004-01-26,27.39,28.2
268,2004-01-27,28.24,27.5
269,2004-01-28,27.72,26.78
270,2004-01-29,27.03,25.96
271,2004-01-30,26.38,25.71
272,2004-02-02,26.13,26.2
273,2004-02-03,26.25,26.41
274,2004-02-04,24.98,24.08
275,2004-02-05,24.41,23.82
276,2004-02-06,24.06,24.74
277,2004-02-09,24.94,24.67
278,2004-02-10,24.65,24.78
279,2004-02-11,24.79,24.24
280,2004-02-12,24.23,24.05
281,2004-02-13,24.22,24.06
282,2004-02-17,24.46,24.25
283,2004-02-18,24.4,24.09
284,2004-02-19,24.25,23.68
285,2004-02-20,23.63,23.19
286,2004-02-23,23.17,22.75
287,2004-02-24,22.56,23.05
288,2004-02-25,23.17,23.58
289,2004-02-26,23.52,23.35
290,2004-02-27,23.49,23.16
291,2004-03-01,23.3,23.53
292,2004-03-02,23.53,23.03
293,2004-03-03,22.96,22.7
294,2004-03-04,22.74,23.19
295,2004-03-05,22.87,22.89
296,2004-03-08,23.06,22.36
297,2004-03-09,22.27,22.12
298,2004-03-10,22.28,22.21
299,2004-03-11,22.06,22.34
300,2004-03-12,22.68,23.13
301,2004-03-15,22.95,22.78
302,2004-03-16,22.98,23.119
303,2004-03-17,23.36,23.5
304,2004-03-18,23.4,23.17
305,2004-03-19,23.15,22.5
306,2004-03-22,22.24,22.35
307,2004-03-23,22.67,22.36
308,2004-03-24,22.43,22.67
309,2004-03-25,22.83,23.58
310,2004-03-26,23.61,23.4
311,2004-03-29,23.68,23.85
312,2004-03-30,23.72,23.93
313,2004-03-31,23.94,23.57
314,2004-04-01,23.68,23.74
315,2004-04-02,24.17,24.43
316,2004-04-05,24.29,24.81
317,2004-04-06,24.77,24.65
318,2004-04-07,24.53,24.24
319,2004-04-08,24.66,24.15
320,2004-04-12,24.21,24.13
321,2004-04-13,24.4,23.62
322,2004-04-14,23.36,23.26
323,2004-04-15,23.19,22.82
324,2004-04-16,22.72,22.48
325,2004-04-19,22.55,22.86
326,2004-04-20,22.969,22.11
327,2004-04-21,22.26,22.37
328,2004-04-22,22.151,23.15
329,2004-04-23,23.24,23.32
330,2004-04-26,23.37,23.14
331,2004-04-27,23.160999999999998,22.94
332,2004-04-28,22.73,22.37
333,2004-04-29,22.41,21.91
334,2004-04-30,21.691,20.91
335,2004-05-03,21.12,21.12
336,2004-05-04,21.18,21.37
337,2004-05-05,21.49,21.26
338,2004-05-06,21.049,21.5
339,2004-05-07,21.49,21.69
340,2004-05-10,21.42,21.62
341,2004-05-11,21.87,22.25
342,2004-05-12,22.16,21.96
343,2004-05-13,21.77,21.76
344,2004-05-14,21.7,21.24
345,2004-05-17,20.76,20.93
346,2004-05-18,21.11,21.0
347,2004-05-19,21.279,21.36
348,2004-05-20,21.3,21.52
349,2004-05-21,21.66,21.64
350,2004-05-24,21.77,21.65
351,2004-05-25,21.561,22.235
352,2004-05-26,22.23,22.35
353,2004-05-27,22.5,22.54
354,2004-05-28,22.6,22.37
355,2004-06-01,22.1,22.24
356,2004-06-02,22.31,22.41
357,2004-06-03,22.29,22.35
358,2004-06-04,22.9,22.78
359,2004-06-07,23.04,23.89
360,2004-06-08,23.58,23.74
361,2004-06-09,23.59,23.56
362,2004-06-10,23.67,23.82
363,2004-06-14,23.53,23.315
364,2004-06-15,23.491,23.64
365,2004-06-16,23.76,23.88
366,2004-06-17,23.445,23.36
367,2004-06-18,23.2,23.42
368,2004-06-21,23.57,22.87
369,2004-06-22,22.87,23.22
370,2004-06-23,23.17,23.97
371,2004-06-24,23.8,23.68
372,2004-06-25,23.67,23.43
373,2004-06-28,23.75,23.3
374,2004-06-29,23.27,23.71
