,date,open,close
0,2003-01-02,16.14,17.71
1,2003-01-03,17.7,17.63
2,2003-01-06,17.65,18.5
3,2003-01-07,18.5,18.61
4,2003-01-08,18.5,17.83
5,2003-01-09,17.98,18.54
6,2003-01-10,18.35,19.44
7,2003-01-13,19.44,19.0
8,2003-01-14,18.9,19.16
9,2003-01-15,19.3,18.9
10,2003-01-16,18.98,19.6
11,2003-01-17,19.3,19.36
12,2003-01-21,19.36,18.67
13,2003-01-22,18.53,18.25
14,2003-01-23,18.46,18.2
15,2003-01-24,18.15,17.65
16,2003-01-27,17.4,17.17
17,2003-01-28,17.18,17.58
18,2003-01-29,17.18,17.58
19,2003-01-30,18.27,17.11
20,2003-01-31,17.11,17.41
21,2003-02-03,17.57,16.85
22,2003-02-04,16.6,16.29
23,2003-02-05,16.29,15.72
24,2003-02-06,15.73,16.54
25,2003-02-07,17.4,16.25
26,2003-02-10,16.87,17.07
27,2003-02-11,17.07,16.75
28,2003-02-12,16.5,16.3
29,2003-02-13,16.05,15.96
30,2003-02-14,16.14,16.75
31,2003-02-18,16.76,17.73
32,2003-02-19,17.7,17.07
33,2003-02-20,17.25,16.86
34,2003-02-21,17.11,17.49
35,2003-02-24,17.45,16.55
36,2003-02-25,16.35,16.93
37,2003-02-26,16.94,16.92
38,2003-02-27,16.96,17.35
39,2003-02-28,17.35,17.79
40,2003-03-03,17.95,17.44
41,2003-03-04,17.36,17.2
42,2003-03-05,17.2,17.6
43,2003-03-06,17.45,17.7
44,2003-03-07,17.15,18.15
45,2003-03-10,18.0,17.54
46,2003-03-11,17.49,16.87
47,2003-03-12,16.85,16.72
48,2003-03-13,17.37,17.63
49,2003-03-14,17.63,17.73
50,2003-03-17,17.48,18.75
51,2003-03-18,18.77,18.7
52,2003-03-19,18.7,19.28
53,2003-03-20,19.28,19.4
54,2003-03-21,19.75,20.3
55,2003-03-24,19.65,18.8
56,2003-03-25,18.97,19.46
57,2003-03-26,19.46,19.33
58,2003-03-27,19.25,19.9
59,2003-03-28,19.45,19.3
60,2003-03-31,18.95,18.99
61,2003-04-01,19.2,19.9
