,date,open,close
0,2003-01-02,25.45,25.41
1,2003-01-03,25.5,25.89
2,2003-01-06,25.89,25.62
3,2003-01-07,25.63,24.97
4,2003-01-08,25.02,24.95
5,2003-01-09,24.95,25.43
6,2003-01-10,25.18,25.31
7,2003-01-13,25.4,25.41
8,2003-01-14,25.41,25.59
9,2003-01-15,25.49,25.11
10,2003-01-16,25.4,25.53
11,2003-01-17,25.2,25.36
12,2003-01-21,25.5,24.72
13,2003-01-22,24.65,24.51
14,2003-01-23,24.48,24.21
15,2003-01-24,24.21,23.8
16,2003-01-27,23.45,23.2
17,2003-01-28,23.5,23.55
18,2003-01-29,23.5,23.55
19,2003-01-30,22.75,21.99
20,2003-01-31,22.0,22.62
21,2003-02-03,23.0,23.34
22,2003-02-04,24.55,24.55
23,2003-02-05,24.8,25.0
24,2003-02-06,25.0,25.1
25,2003-02-07,25.25,24.9
26,2003-02-10,24.93,24.83
27,2003-02-11,25.15,25.21
28,2003-02-12,25.3,24.97
29,2003-02-13,24.97,24.71
30,2003-02-14,24.71,24.99
31,2003-02-18,25.15,25.49
32,2003-02-19,25.7,25.45
33,2003-02-20,25.41,25.45
34,2003-02-21,25.4,25.98
35,2003-02-24,25.85,25.13
36,2003-02-25,25.0,24.91
37,2003-02-26,24.92,24.73
38,2003-02-27,24.81,24.85
39,2003-02-28,24.86,24.9
40,2003-03-03,24.9,24.6
41,2003-03-04,25.0,25.04
42,2003-03-05,25.14,25.15
43,2003-03-06,25.14,25.4
44,2003-03-07,25.0,25.34
45,2003-03-10,25.25,24.55
46,2003-03-11,24.55,24.63
47,2003-03-12,24.55,24.48
48,2003-03-13,24.65,25.16
49,2003-03-14,25.1,25.43
50,2003-03-17,25.33,26.61
51,2003-03-18,26.55,26.11
52,2003-03-19,25.15,25.37
53,2003-03-20,25.38,26.02
54,2003-03-21,26.42,26.67
55,2003-03-24,26.68,25.39
56,2003-03-25,25.25,25.48
57,2003-03-26,25.61,25.4
58,2003-03-27,25.3,25.3
59,2003-03-28,25.22,24.9
60,2003-03-31,22.33,23.85
61,2003-04-01,23.78,23.56
62,2003-04-02,23.78,24.01
63,2003-04-03,24.3,23.97
64,2003-04-04,24.44,24.08
65,2003-04-07,24.7,24.2
66,2003-04-08,24.42,24.17
67,2003-04-09,24.16,23.91
68,2003-04-10,23.88,23.92
69,2003-04-11,23.96,23.69
70,2003-04-14,23.89,24.48
71,2003-04-15,24.38,24.27
72,2003-04-16,24.25,23.7
73,2003-04-17,23.64,23.19
74,2003-04-21,23.35,23.08
75,2003-04-22,22.95,23.5
76,2003-04-23,23.58,23.35
77,2003-04-24,23.36,23.44
78,2003-04-25,23.5,23.96
79,2003-04-28,23.96,24.16
80,2003-04-29,24.1,24.7
81,2003-04-30,24.4,24.21
82,2003-05-01,24.15,24.42
83,2003-05-02,24.47,25.29
84,2003-05-05,25.37,25.47
85,2003-05-06,25.48,26.33
86,2003-05-07,26.33,26.06
87,2003-05-08,26.1,26.51
88,2003-05-09,26.55,26.6
89,2003-05-12,26.53,26.94
90,2003-05-13,26.98,27.08
91,2003-05-14,27.45,26.63
92,2003-05-15,26.6,26.38
93,2003-05-16,26.2,26.11
94,2003-05-19,26.11,25.15
95,2003-05-20,25.15,25.03
96,2003-05-21,25.0,25.34
97,2003-05-22,25.7,26.3
98,2003-05-23,26.35,26.12
99,2003-05-27,25.9,25.98
100,2003-05-28,25.98,25.98
101,2003-05-29,26.01,25.86
102,2003-05-30,26.0,26.1
103,2003-06-02,26.3,26.54
104,2003-06-03,26.54,27.11
105,2003-06-04,27.25,27.54
106,2003-06-05,27.18,27.27
107,2003-06-06,27.47,27.17
108,2003-06-09,27.09,27.5
109,2003-06-10,27.85,27.76
110,2003-06-11,27.9,28.5
111,2003-06-12,28.7,28.05
112,2003-06-13,28.09,27.85
113,2003-06-16,27.98,28.28
114,2003-06-17,28.52,28.27
115,2003-06-18,28.24,28.19
116,2003-06-19,27.65,26.79
117,2003-06-20,26.98,27.51
118,2003-06-23,27.32,26.42
119,2003-06-24,27.4,27.93
120,2003-06-25,27.94,27.55
121,2003-06-26,27.58,28.28
122,2003-06-27,28.31,27.8
123,2003-06-30,27.81,28.03
124,2003-07-01,28.03,28.21
125,2003-07-02,28.21,28.15
126,2003-07-03,28.0,28.07
127,2003-07-07,28.25,28.44
128,2003-07-08,28.48,28.7
129,2003-07-09,28.7,28.49
130,2003-07-10,28.35,28.15
131,2003-07-11,28.12,28.6
132,2003-07-14,29.35,28.53
