,date,open,close
0,2003-01-02,42.45,43.44
1,2003-01-03,43.45,43.66
2,2003-01-06,43.4,44.71
3,2003-01-07,44.51,44.58
4,2003-01-08,44.25,43.58
5,2003-01-09,43.8,44.29
6,2003-01-10,44.29,44.03
7,2003-01-13,44.46,43.73
8,2003-01-14,43.81,44.0
9,2003-01-15,43.6,42.5
10,2003-01-16,42.45,42.38
11,2003-01-17,42.0,42.16
12,2003-01-21,42.24,41.65
13,2003-01-22,41.3,40.65
14,2003-01-23,40.78,40.96
15,2003-01-24,40.75,39.92
16,2003-01-27,39.93,38.46
17,2003-01-28,38.6,38.73
18,2003-01-29,38.6,38.73
19,2003-01-30,38.73,37.21
20,2003-01-31,37.0,37.87
21,2003-02-03,38.1,38.16
22,2003-02-04,37.8,37.6
23,2003-02-05,37.61,37.4
24,2003-02-06,37.25,36.7
25,2003-02-07,37.25,36.95
26,2003-02-10,37.33,36.95
27,2003-02-11,37.06,36.4
28,2003-02-12,36.41,36.05
29,2003-02-13,36.7,37.18
30,2003-02-14,37.15,37.09
31,2003-02-18,37.8,37.9
32,2003-02-19,38.0,37.11
33,2003-02-20,37.36,36.87
34,2003-02-21,37.35,37.54
35,2003-02-24,37.54,36.87
36,2003-02-25,36.5,36.3
37,2003-02-26,36.46,36.88
38,2003-02-27,36.74,36.72
39,2003-02-28,36.89,36.67
40,2003-03-03,36.87,36.5
41,2003-03-04,36.56,35.57
42,2003-03-05,35.57,35.67
43,2003-03-06,35.55,35.11
44,2003-03-07,35.11,36.0
45,2003-03-10,36.14,35.47
46,2003-03-11,35.5,35.41
47,2003-03-12,35.05,35.41
48,2003-03-13,36.11,37.3
49,2003-03-14,37.3,37.82
50,2003-03-17,37.83,38.7
51,2003-03-18,39.45,40.08
52,2003-03-19,40.45,39.84
53,2003-03-20,39.84,39.6
54,2003-03-21,40.74,41.64
55,2003-03-24,40.81,40.0
56,2003-03-25,40.14,40.24
57,2003-03-26,40.31,40.42
58,2003-03-27,40.05,39.85
59,2003-03-28,39.36,39.63
60,2003-03-31,38.99,38.86
61,2003-04-01,39.1,39.52
62,2003-04-02,40.1,40.57
63,2003-04-03,40.8,40.16
64,2003-04-04,40.26,40.48
65,2003-04-07,41.03,40.51
66,2003-04-08,40.26,39.8
67,2003-04-09,40.05,39.04
68,2003-04-10,39.05,39.36
69,2003-04-11,39.9,39.48
70,2003-04-14,39.48,40.3
71,2003-04-15,40.05,40.81
72,2003-04-16,41.15,40.25
73,2003-04-17,40.26,40.63
74,2003-04-21,40.74,40.47
75,2003-04-22,40.47,41.01
76,2003-04-23,41.02,41.85
77,2003-04-24,41.6,41.85
78,2003-04-25,41.85,41.12
79,2003-04-28,41.12,41.73
80,2003-04-29,42.2,42.37
81,2003-04-30,42.47,42.53
82,2003-05-01,42.53,41.99
83,2003-05-02,42.33,43.0
84,2003-05-05,43.0,42.8
85,2003-05-06,42.9,43.06
86,2003-05-07,42.85,42.65
87,2003-05-08,42.45,42.19
88,2003-05-09,42.32,42.9
89,2003-05-12,42.9,43.64
90,2003-05-13,43.04,43.24
91,2003-05-14,43.25,42.87
92,2003-05-15,43.0,42.6
93,2003-05-16,42.61,42.19
94,2003-05-19,42.19,41.25
95,2003-05-20,41.25,41.07
96,2003-05-21,40.82,40.82
97,2003-05-22,40.9,40.9
98,2003-05-23,41.04,40.99
99,2003-05-27,40.99,41.9
100,2003-05-28,41.82,41.83
101,2003-05-29,41.95,41.23
102,2003-05-30,41.37,42.14
103,2003-06-02,42.5,42.62
104,2003-06-03,42.69,42.67
105,2003-06-04,42.59,43.44
106,2003-06-05,43.44,43.19
107,2003-06-06,43.56,43.25
108,2003-06-09,43.1,42.87
109,2003-06-10,43.45,43.43
110,2003-06-11,43.75,43.79
111,2003-06-12,44.0,43.72
112,2003-06-13,44.15,43.58
113,2003-06-16,43.58,44.18
114,2003-06-17,41.36,44.02
115,2003-06-18,44.0,43.78
116,2003-06-19,43.55,43.13
117,2003-06-20,43.55,42.53
118,2003-06-23,42.53,41.86
119,2003-06-24,41.95,41.77
120,2003-06-25,41.87,41.85
121,2003-06-26,42.07,42.49
122,2003-06-27,42.38,41.83
123,2003-06-30,41.85,41.64
124,2003-07-01,41.64,41.72
125,2003-07-02,41.82,42.2
126,2003-07-03,41.8,41.58
127,2003-07-07,41.83,42.16
128,2003-07-08,42.17,41.96
129,2003-07-09,41.99,42.2
130,2003-07-10,42.05,41.74
131,2003-07-11,41.8,41.94
132,2003-07-14,42.35,42.18
133,2003-07-15,42.42,42.08
134,2003-07-16,42.16,41.96
135,2003-07-17,41.62,41.6
136,2003-07-18,41.99,42.57
137,2003-07-21,42.16,42.0
138,2003-07-22,41.29,42.85
139,2003-07-23,43.0,42.68
140,2003-07-24,43.05,43.45
141,2003-07-25,43.39,44.69
142,2003-07-28,44.69,44.39
143,2003-07-29,44.39,43.97
144,2003-07-30,43.97,43.87
145,2003-07-31,44.0,43.94
146,2003-08-01,44.02,43.54
147,2003-08-04,43.55,43.57
148,2003-08-05,43.67,42.8
149,2003-08-06,42.81,42.78
150,2003-08-07,42.7,42.73
151,2003-08-08,42.85,42.96
152,2003-08-11,43.0,43.23
153,2003-08-12,43.25,43.69
154,2003-08-13,43.7,43.3
155,2003-08-14,43.27,43.77
156,2003-08-15,44.0,43.63
157,2003-08-18,43.74,44.75
158,2003-08-19,44.9,45.02
159,2003-08-20,44.78,45.06
160,2003-08-21,45.0,44.87
161,2003-08-22,44.85,44.45
162,2003-08-25,44.25,44.32
163,2003-08-26,43.98,44.34
164,2003-08-27,44.34,44.23
165,2003-08-28,44.4,44.53
166,2003-08-29,44.25,44.74
167,2003-09-02,44.85,45.22
168,2003-09-03,45.21,44.82
169,2003-09-04,44.7,44.45
170,2003-09-05,44.45,44.37
171,2003-09-08,44.38,45.08
172,2003-09-09,44.75,44.5
173,2003-09-10,44.51,43.81
174,2003-09-11,43.65,43.36
175,2003-09-12,43.36,44.51
176,2003-09-15,44.51,44.07
177,2003-09-16,43.8,43.97
178,2003-09-17,42.87,42.47
179,2003-09-18,42.48,42.11
180,2003-09-19,42.11,42.26
181,2003-09-22,41.95,41.27
182,2003-09-23,41.27,41.54
183,2003-09-24,41.5,40.28
184,2003-09-25,40.2,39.62
185,2003-09-26,39.65,39.98
186,2003-09-29,40.16,40.48
187,2003-09-30,40.48,40.01
188,2003-10-01,40.0,40.1
189,2003-10-02,40.14,39.96
190,2003-10-03,40.53,40.78
191,2003-10-06,40.62,40.67
192,2003-10-07,40.6,41.04
193,2003-10-08,41.1,40.98
194,2003-10-09,41.35,40.89
195,2003-10-10,40.89,40.42
196,2003-10-13,40.55,40.5
197,2003-10-14,40.73,40.39
198,2003-10-15,40.45,40.07
199,2003-10-16,40.08,40.59
200,2003-10-17,40.7,40.63
201,2003-10-20,40.89,41.03
202,2003-10-21,41.0,40.95
203,2003-10-22,40.95,39.2
204,2003-10-23,39.4,39.65
205,2003-10-24,39.65,39.07
206,2003-10-27,39.25,39.38
207,2003-10-28,39.42,39.99
208,2003-10-29,39.99,39.85
209,2003-10-30,40.3,40.49
210,2003-10-31,40.95,40.4
211,2003-11-03,40.4,40.21
212,2003-11-04,40.32,39.93
213,2003-11-05,39.91,39.8
214,2003-11-06,39.8,40.1
215,2003-11-07,40.1,40.08
216,2003-11-10,40.08,40.42
217,2003-11-11,40.59,40.85
218,2003-11-12,40.67,40.68
219,2003-11-13,40.58,40.48
220,2003-11-14,40.48,40.19
221,2003-11-17,40.2,39.73
222,2003-11-18,39.88,39.43
223,2003-11-19,39.4,39.57
224,2003-11-20,39.33,39.21
225,2003-11-21,39.38,39.39
226,2003-11-24,39.65,39.96
227,2003-11-25,39.84,40.55
228,2003-11-26,41.0,41.27
229,2003-11-28,41.35,41.46
230,2003-12-01,42.0,42.7
231,2003-12-02,42.55,42.34
232,2003-12-03,42.44,43.16
233,2003-12-04,43.25,43.96
234,2003-12-05,43.5,43.41
235,2003-12-08,43.35,43.96
236,2003-12-09,44.16,43.96
237,2003-12-10,43.88,43.95
238,2003-12-11,43.9,44.07
239,2003-12-12,44.1,44.43
240,2003-12-15,45.41,44.06
241,2003-12-16,44.28,44.48
242,2003-12-17,44.27,44.62
243,2003-12-18,44.77,44.73
244,2003-12-19,44.99,44.8
245,2003-12-22,44.8,45.34
246,2003-12-23,45.34,45.6
247,2003-12-24,45.61,45.45
248,2003-12-26,45.41,45.46
249,2003-12-29,45.51,45.94
250,2003-12-30,45.86,45.76
251,2003-12-31,45.76,45.89
252,2004-01-02,45.98,45.51
253,2004-01-05,46.1,46.0
254,2004-01-06,45.82,45.67
255,2004-01-07,45.67,45.09
256,2004-01-08,45.47,45.26
257,2004-01-09,45.26,44.19
258,2004-01-12,44.3,44.29
259,2004-01-13,44.3,43.79
260,2004-01-14,44.11,44.48
261,2004-01-15,44.77,44.47
262,2004-01-16,44.35,44.38
263,2004-01-20,44.42,44.16
264,2004-01-21,44.23,43.98
265,2004-01-22,43.98,43.25
266,2004-01-23,43.28,42.72
267,2004-01-26,42.58,43.08
268,2004-01-27,43.47,42.58
269,2004-01-28,42.7,43.67
270,2004-01-29,44.29,43.93
271,2004-01-30,43.93,43.9
272,2004-02-02,44.09,43.8
273,2004-02-03,43.73,43.62
274,2004-02-04,43.52,43.76
275,2004-02-05,43.76,44.17
276,2004-02-06,44.01,44.45
277,2004-02-09,44.5,44.45
278,2004-02-10,44.2,44.59
279,2004-02-11,44.45,44.6
280,2004-02-12,44.42,44.78
281,2004-02-13,44.71,44.46
282,2004-02-17,44.46,44.96
283,2004-02-18,45.04,45.15
284,2004-02-19,45.4,45.54
285,2004-02-20,45.67,45.28
286,2004-02-23,44.8,45.53
287,2004-02-24,45.25,45.16
288,2004-02-25,44.95,45.27
289,2004-02-26,44.8,45.05
290,2004-02-27,45.06,45.09
291,2004-03-01,45.45,45.63
292,2004-03-02,45.23,44.85
293,2004-03-03,44.8,45.07
294,2004-03-04,44.9,44.56
295,2004-03-05,44.25,44.64
296,2004-03-08,44.35,44.35
297,2004-03-09,44.18,43.38
298,2004-03-10,43.23,41.95
299,2004-03-11,41.98,41.55
300,2004-03-12,42.08,42.3
301,2004-03-15,42.12,41.01
302,2004-03-16,41.67,41.34
303,2004-03-17,41.6,41.74
304,2004-03-18,41.65,41.37
305,2004-03-19,41.37,41.55
306,2004-03-22,41.1,40.8
307,2004-03-23,41.09,40.7
308,2004-03-24,40.77,41.15
309,2004-03-25,41.65,41.96
310,2004-03-26,41.75,41.74
311,2004-03-29,41.89,42.36
312,2004-03-30,42.4,42.48
313,2004-03-31,42.59,42.22
314,2004-04-01,42.58,42.84
315,2004-04-02,43.75,43.71
316,2004-04-05,43.71,43.98
317,2004-04-06,44.0,44.16
318,2004-04-07,44.01,43.6
319,2004-04-08,43.96,43.43
320,2004-04-12,43.63,44.06
321,2004-04-13,44.22,43.69
322,2004-04-14,44.3,45.0
323,2004-04-15,45.0,45.07
324,2004-04-16,45.2,44.98
325,2004-04-19,44.74,44.99
326,2004-04-20,45.0,44.63
327,2004-04-21,44.5,44.2
328,2004-04-22,44.35,44.83
329,2004-04-23,45.02,44.65
330,2004-04-26,44.7,44.99
331,2004-04-27,44.99,44.52
332,2004-04-28,44.2,43.41
333,2004-04-29,43.3,43.31
334,2004-04-30,43.25,42.95
335,2004-05-03,43.13,43.08
336,2004-05-04,43.34,43.57
337,2004-05-05,43.53,43.64
338,2004-05-06,43.33,43.11
339,2004-05-07,42.99,42.0
340,2004-05-10,41.77,41.63
341,2004-05-11,41.75,41.87
342,2004-05-12,41.25,41.62
343,2004-05-13,41.63,42.11
344,2004-05-14,42.0,41.69
345,2004-05-17,41.3,41.19
346,2004-05-18,41.5,41.94
347,2004-05-19,42.33,41.93
348,2004-05-20,42.01,41.84
349,2004-05-21,42.22,41.99
350,2004-05-24,42.41,42.38
351,2004-05-25,42.42,42.75
352,2004-05-26,42.58,42.79
353,2004-05-27,42.98,43.22
354,2004-05-28,43.25,43.2
355,2004-06-01,43.21,43.18
356,2004-06-02,43.35,43.24
357,2004-06-03,43.24,42.52
358,2004-06-04,42.88,42.82
359,2004-06-07,42.97,43.61
360,2004-06-08,43.35,43.85
361,2004-06-09,43.85,43.79
362,2004-06-10,43.79,43.76
363,2004-06-14,43.77,43.51
364,2004-06-15,44.05,43.57
365,2004-06-16,43.77,43.83
366,2004-06-17,43.66,43.76
367,2004-06-18,43.76,44.09
368,2004-06-21,44.0,44.35
369,2004-06-22,44.1,44.0
370,2004-06-23,43.89,44.4
371,2004-06-24,44.25,43.97
372,2004-06-25,44.1,43.76
373,2004-06-28,43.85,43.73
374,2004-06-29,43.73,44.15
375,2004-06-30,44.15,44.42
376,2004-07-01,44.75,43.88
377,2004-07-02,43.56,43.62
378,2004-07-06,43.26,42.91
379,2004-07-07,42.68,43.09
380,2004-07-08,43.04,42.77
381,2004-07-09,42.95,43.09
382,2004-07-12,43.0,43.24
383,2004-07-13,43.17,42.95
384,2004-07-14,42.83,42.76
385,2004-07-15,42.94,42.62
386,2004-07-16,42.93,42.5
387,2004-07-19,42.75,42.72
388,2004-07-20,42.38,42.75
389,2004-07-21,42.87,42.15
390,2004-07-22,42.26,42.07
391,2004-07-23,41.9,42.28
392,2004-07-26,42.0,41.9
393,2004-07-27,41.5,42.31
394,2004-07-28,42.03,42.25
395,2004-07-29,42.54,42.63
396,2004-07-30,42.5,42.87
397,2004-08-02,42.88,42.99
398,2004-08-03,42.88,42.69
399,2004-08-04,42.25,43.0
400,2004-08-05,42.91,42.52
401,2004-08-06,42.02,41.55
402,2004-08-09,41.0,41.34
403,2004-08-10,41.31,41.77
404,2004-08-11,41.32,41.13
405,2004-08-12,40.93,40.74
406,2004-08-13,40.67,40.21
407,2004-08-16,40.44,40.94
408,2004-08-17,41.14,41.21
409,2004-08-18,41.05,41.43
410,2004-08-19,41.23,41.25
411,2004-08-20,41.06,41.7
412,2004-08-23,41.96,41.62
413,2004-08-24,41.71,41.92
414,2004-08-25,41.89,42.5
415,2004-08-26,42.39,42.57
416,2004-08-27,42.58,42.55
417,2004-08-30,42.5,42.24
418,2004-08-31,42.25,42.26
419,2004-09-01,42.5,42.02
420,2004-09-02,42.4,42.6
421,2004-09-03,42.72,42.66
422,2004-09-07,42.76,43.19
423,2004-09-08,43.09,42.76
424,2004-09-09,42.8,42.9
425,2004-09-10,42.88,43.3
426,2004-09-13,43.3,43.15
427,2004-09-14,43.34,42.81
428,2004-09-15,42.93,43.02
429,2004-09-16,42.95,42.99
430,2004-09-17,43.18,42.66
431,2004-09-20,42.3,42.54
432,2004-09-21,42.58,42.59
433,2004-09-22,42.32,42.18
434,2004-09-23,42.06,41.71
435,2004-09-24,41.8,41.78
436,2004-09-27,41.66,41.57
437,2004-09-28,41.73,42.11
438,2004-09-29,41.98,42.38
439,2004-09-30,42.42,42.8
440,2004-10-01,42.95,43.15
441,2004-10-04,43.13,43.21
442,2004-10-05,43.22,43.23
443,2004-10-06,43.34,44.05
444,2004-10-07,44.09,43.59
445,2004-10-08,43.53,43.46
446,2004-10-11,43.42,43.43
447,2004-10-12,43.01,43.34
448,2004-10-13,43.45,42.84
449,2004-10-14,42.84,42.66
450,2004-10-15,42.66,42.76
451,2004-10-18,42.6,43.05
452,2004-10-19,43.15,42.33
453,2004-10-20,42.28,42.27
454,2004-10-21,42.23,42.54
455,2004-10-22,42.7,42.02
456,2004-10-25,41.86,42.18
457,2004-10-26,42.19,41.4
458,2004-10-27,41.76,42.92
459,2004-10-28,42.65,42.8
460,2004-10-29,42.64,42.87
461,2004-11-01,43.04,43.0
462,2004-11-02,42.95,43.17
463,2004-11-03,43.5,43.21
464,2004-11-04,43.11,43.8
465,2004-11-05,44.24,44.18
466,2004-11-08,44.04,44.12
467,2004-11-09,44.13,44.63
468,2004-11-10,44.25,44.21
469,2004-11-11,44.45,44.46
470,2004-11-12,44.6,44.5
471,2004-11-15,44.46,44.53
472,2004-11-16,44.34,44.15
473,2004-11-17,44.31,44.35
474,2004-11-18,44.35,44.9
475,2004-11-19,44.95,44.88
476,2004-11-22,44.8,45.22
477,2004-11-23,45.02,45.12
478,2004-11-24,45.07,45.55
479,2004-11-26,45.45,45.46
480,2004-11-29,45.3,45.33
481,2004-11-30,45.13,45.32
482,2004-12-01,45.15,45.97
483,2004-12-02,45.75,45.97
484,2004-12-03,45.79,45.73
485,2004-12-06,45.45,45.47
486,2004-12-07,45.43,44.99
487,2004-12-08,44.89,45.41
488,2004-12-09,44.46,45.87
489,2004-12-10,45.75,45.98
490,2004-12-13,46.02,47.06
491,2004-12-14,47.06,47.45
492,2004-12-15,47.85,48.39
493,2004-12-16,48.39,47.96
494,2004-12-17,47.97,47.75
495,2004-12-20,47.88,47.96
496,2004-12-21,47.91,48.92
497,2004-12-22,48.7,49.0
498,2004-12-23,48.89,49.01
499,2004-12-27,49.14,48.93
500,2004-12-28,49.0,49.15
501,2004-12-29,49.07,49.05
502,2004-12-30,49.14,48.95
503,2004-12-31,48.87,49.05
504,2005-01-03,49.25,49.12
505,2005-01-04,49.12,48.06
506,2005-01-05,47.76,47.42
507,2005-01-06,47.33,47.41
508,2005-01-07,47.51,47.37
509,2005-01-10,47.37,47.44
510,2005-01-11,47.27,47.19
511,2005-01-12,47.35,47.21
