,date,open,close
0,2003-01-02,27.1,27.71
1,2003-01-03,27.61,27.79
2,2003-01-06,27.72,28.35
3,2003-01-07,28.63,28.65
4,2003-01-08,28.35,28.32
5,2003-01-09,28.57,28.3
6,2003-01-10,27.9,27.15
7,2003-01-13,26.98,25.98
8,2003-01-14,25.92,26.4
9,2003-01-15,26.7,25.96
10,2003-01-16,25.94,25.6
11,2003-01-17,25.0,24.83
12,2003-01-21,24.79,24.75
13,2003-01-22,24.55,24.57
14,2003-01-23,24.88,25.21
15,2003-01-24,25.13,24.38
16,2003-01-27,24.1,24.0
17,2003-01-28,24.27,24.81
18,2003-01-29,24.75,25.33
19,2003-01-30,25.44,24.18
20,2003-01-31,23.34,23.86
21,2003-02-03,24.07,23.96
22,2003-02-04,23.47,24.43
23,2003-02-05,24.62,24.17
24,2003-02-06,24.06,24.02
25,2003-02-07,24.13,23.34
26,2003-02-10,23.27,22.86
27,2003-02-11,23.25,23.24
28,2003-02-12,23.25,22.94
29,2003-02-13,23.03,23.25
30,2003-02-14,24.55,25.77
31,2003-02-18,25.73,26.49
32,2003-02-19,26.2,26.11
33,2003-02-20,26.15,26.34
34,2003-02-21,26.45,26.84
35,2003-02-24,26.73,26.38
36,2003-02-25,26.03,26.51
37,2003-02-26,26.11,25.78
38,2003-02-27,26.01,26.51
39,2003-02-28,26.63,26.96
40,2003-03-03,27.1,26.46
41,2003-03-04,26.52,26.13
42,2003-03-05,26.1,26.68
43,2003-03-06,26.43,26.0
44,2003-03-07,25.58,26.73
45,2003-03-10,26.5,25.95
46,2003-03-11,26.05,25.74
47,2003-03-12,25.72,26.01
48,2003-03-13,26.4,26.89
49,2003-03-14,26.82,26.5
50,2003-03-17,26.35,28.16
51,2003-03-18,27.98,28.06
52,2003-03-19,28.04,28.57
53,2003-03-20,28.17,28.1
54,2003-03-21,28.63,28.78
55,2003-03-24,28.09,27.81
56,2003-03-25,27.95,28.13
57,2003-03-26,28.08,27.85
58,2003-03-27,27.5,27.84
59,2003-03-28,27.65,27.7
60,2003-03-31,27.4,27.31
61,2003-04-01,27.4,27.21
62,2003-04-02,27.7489,28.09
63,2003-04-03,28.54,28.67
64,2003-04-04,29.15,28.87
65,2003-04-07,29.67,28.88
66,2003-04-08,28.93,28.59
67,2003-04-09,28.46,28.01
68,2003-04-10,28.06,28.33
69,2003-04-11,28.55,28.29
70,2003-04-14,28.34,28.68
71,2003-04-15,28.69,28.84
72,2003-04-16,29.31,29.24
73,2003-04-17,29.27,29.5
74,2003-04-21,29.71,29.48
75,2003-04-22,29.36,29.89
76,2003-04-23,29.81,29.89
77,2003-04-24,29.49,29.62
78,2003-04-25,29.49,29.11
79,2003-04-28,29.1,29.33
80,2003-04-29,29.25,29.75
81,2003-04-30,29.45,28.98
82,2003-05-01,28.96,29.18
83,2003-05-02,29.19,29.57
84,2003-05-05,29.72,29.5
85,2003-05-06,29.488000000000003,30.51
86,2003-05-07,30.41,30.64
87,2003-05-08,30.37,30.2
88,2003-05-09,30.45,31.09
89,2003-05-12,31.03,31.9
