,date,open,close
0,2003-01-02,9.5,9.94
1,2003-01-03,9.94,9.94
2,2003-01-06,9.7,10.07
3,2003-01-07,10.07,10.13
4,2003-01-08,10.13,10.01
5,2003-01-09,10.02,10.23
6,2003-01-10,10.11,10.5
7,2003-01-13,10.68,10.58
8,2003-01-14,10.42,10.53
9,2003-01-15,10.52,10.3
10,2003-01-16,10.46,10.43
11,2003-01-17,10.35,10.16
12,2003-01-21,10.3,10.14
13,2003-01-22,10.07,9.74
14,2003-01-23,9.82,10.01
15,2003-01-24,10.0,9.75
16,2003-01-27,9.56,9.47
17,2003-01-28,9.51,9.57
18,2003-01-29,9.4,9.39
19,2003-01-30,9.39,9.01
20,2003-01-31,8.93,9.11
21,2003-02-03,9.11,9.2
22,2003-02-04,9.2,9.01
23,2003-02-05,9.01,9.01
24,2003-02-06,9.0,8.99
25,2003-02-07,9.08,8.8
26,2003-02-10,8.81,8.95
27,2003-02-11,9.02,8.85
28,2003-02-12,8.75,8.75
29,2003-02-13,8.65,8.44
30,2003-02-14,8.5,8.69
31,2003-02-18,8.7,8.93
32,2003-02-19,8.95,8.82
33,2003-02-20,8.8,8.65
34,2003-02-21,8.57,8.44
35,2003-02-24,8.45,8.29
36,2003-02-25,8.2,8.08
37,2003-02-26,8.22,8.11
38,2003-02-27,8.18,8.33
39,2003-02-28,8.38,8.32
40,2003-03-03,8.38,8.07
41,2003-03-04,8.0,7.74
42,2003-03-05,7.74,7.76
43,2003-03-06,7.7,7.45
44,2003-03-07,7.2,7.22
45,2003-03-10,7.29,6.99
46,2003-03-11,7.0,6.6
47,2003-03-12,6.84,7.08
48,2003-03-13,7.35,7.13
49,2003-03-14,7.13,6.76
50,2003-03-17,6.7,7.19
51,2003-03-18,7.39,7.55
52,2003-03-19,7.5,7.63
53,2003-03-20,7.56,7.5
54,2003-03-21,7.78,8.02
55,2003-03-24,7.75,7.56
56,2003-03-25,7.65,7.63
57,2003-03-26,7.65,7.65
58,2003-03-27,7.58,7.58
59,2003-03-28,7.48,7.41
60,2003-03-31,7.3,7.52
61,2003-04-01,7.3,7.48
62,2003-04-02,7.75,7.75
63,2003-04-03,7.93,7.88
64,2003-04-04,8.0,7.89
65,2003-04-07,8.33,8.05
66,2003-04-08,8.05,7.9
67,2003-04-09,8.05,7.94
68,2003-04-10,7.98,7.9
69,2003-04-11,7.98,8.1
70,2003-04-14,8.14,8.49
71,2003-04-15,7.88,8.35
72,2003-04-16,9.0,9.23
73,2003-04-17,9.23,9.41
74,2003-04-21,9.68,9.92
75,2003-04-22,9.52,10.32
76,2003-04-23,10.42,10.86
77,2003-04-24,10.72,10.5
78,2003-04-25,10.03,9.96
79,2003-04-28,9.97,10.16
80,2003-04-29,10.16,10.32
81,2003-04-30,10.25,10.3
82,2003-05-01,10.32,9.98
83,2003-05-02,9.56,10.04
84,2003-05-05,10.05,10.05
85,2003-05-06,10.06,10.03
86,2003-05-07,9.95,10.0
87,2003-05-08,9.95,9.92
88,2003-05-09,9.9,9.89
89,2003-05-12,9.93,10.04
90,2003-05-13,10.05,10.14
91,2003-05-14,10.16,10.02
92,2003-05-15,10.02,9.96
93,2003-05-16,9.89,10.02
94,2003-05-19,9.92,9.82
95,2003-05-20,9.88,9.62
96,2003-05-21,9.55,9.67
97,2003-05-22,9.73,9.72
98,2003-05-23,9.71,9.56
99,2003-05-27,9.56,10.14
100,2003-05-28,10.2,10.25
101,2003-05-29,10.2,10.08
102,2003-05-30,10.15,10.5
103,2003-06-02,10.65,11.07
104,2003-06-03,10.92,10.69
105,2003-06-04,10.7,10.56
106,2003-06-05,10.47,10.6
107,2003-06-06,10.8,10.71
108,2003-06-09,10.71,10.52
109,2003-06-10,10.62,11.0
110,2003-06-11,10.92,11.33
111,2003-06-12,11.35,11.27
112,2003-06-13,11.27,10.97
113,2003-06-16,11.05,11.23
114,2003-06-17,11.35,11.68
115,2003-06-18,11.52,11.52
116,2003-06-19,11.47,11.28
117,2003-06-20,11.48,11.52
118,2003-06-23,11.6,11.3
119,2003-06-24,11.2,11.35
120,2003-06-25,11.4,11.21
121,2003-06-26,11.12,11.23
122,2003-06-27,11.23,11.03
123,2003-06-30,11.03,10.99
124,2003-07-01,10.9,10.82
125,2003-07-02,10.82,10.87
126,2003-07-03,10.87,10.87
127,2003-07-07,11.0,11.19
128,2003-07-08,11.25,11.16
129,2003-07-09,11.07,11.12
130,2003-07-10,11.12,11.13
131,2003-07-11,11.18,11.29
132,2003-07-14,11.45,11.31
133,2003-07-15,11.35,11.64
134,2003-07-16,11.36,10.99
135,2003-07-17,10.93,10.83
136,2003-07-18,10.9,10.99
137,2003-07-21,10.83,10.55
138,2003-07-22,10.8,10.58
139,2003-07-23,10.64,10.59
140,2003-07-24,10.8,10.68
141,2003-07-25,10.87,10.97
142,2003-07-28,10.97,10.85
143,2003-07-29,10.84,10.83
144,2003-07-30,10.78,10.65
145,2003-07-31,10.74,11.06
146,2003-08-01,11.08,10.9
147,2003-08-04,10.9,10.84
148,2003-08-05,10.71,10.52
149,2003-08-06,10.6,10.65
150,2003-08-07,10.63,10.72
151,2003-08-08,10.8,10.71
152,2003-08-11,10.61,10.71
153,2003-08-12,10.69,10.73
154,2003-08-13,10.76,10.81
155,2003-08-14,10.59,10.76
156,2003-08-15,10.76,10.77
157,2003-08-18,10.76,10.9
158,2003-08-19,10.91,11.07
159,2003-08-20,11.07,11.22
160,2003-08-21,11.21,11.41
161,2003-08-22,11.501,11.23
162,2003-08-25,11.16,11.08
163,2003-08-26,11.04,11.41
164,2003-08-27,11.41,11.64
165,2003-08-28,11.41,11.44
166,2003-08-29,11.45,11.56
167,2003-09-02,11.73,12.31
168,2003-09-03,12.45,11.94
169,2003-09-04,11.82,11.87
170,2003-09-05,11.81,11.73
171,2003-09-08,11.71,11.83
172,2003-09-09,11.66,11.63
173,2003-09-10,11.63,11.38
174,2003-09-11,11.21,11.44
175,2003-09-12,11.44,11.6
176,2003-09-15,11.52,11.37
177,2003-09-16,11.43,11.63
178,2003-09-17,11.57,11.49
179,2003-09-18,11.55,11.73
180,2003-09-19,11.55,11.51
181,2003-09-22,11.54,11.47
182,2003-09-23,11.47,11.52
183,2003-09-24,11.48,11.26
184,2003-09-25,11.23,11.15
185,2003-09-26,11.09,11.0
186,2003-09-29,11.0,10.93
187,2003-09-30,10.9,10.77
188,2003-10-01,10.77,11.1
189,2003-10-02,11.28,11.02
