,date,open,close
0,2003-01-02,79.37,80.9
1,2003-01-03,81.3,81.2
2,2003-01-06,81.35,81.17
3,2003-01-07,81.15,79.85
4,2003-01-08,80.09,79.39
5,2003-01-09,79.8,79.7
6,2003-01-10,79.6,79.42
7,2003-01-13,79.5,78.5
8,2003-01-14,78.63,78.55
9,2003-01-15,78.25,77.11
10,2003-01-16,77.15,77.08
11,2003-01-17,77.22,74.15
12,2003-01-21,74.72,74.01
13,2003-01-22,69.99,64.85
14,2003-01-23,64.85,65.25
15,2003-01-24,65.1,65.5
16,2003-01-27,65.35,65.35
17,2003-01-28,66.1,66.89
18,2003-01-29,66.1,66.89
19,2003-01-30,66.35,66.1
20,2003-01-31,65.7,66.14
21,2003-02-03,66.15,65.88
22,2003-02-04,65.88,66.08
23,2003-02-05,66.09,66.0
24,2003-02-06,66.0,65.67
25,2003-02-07,66.0,65.75
26,2003-02-10,65.7,65.97
27,2003-02-11,66.08,65.4
28,2003-02-12,65.3,64.75
29,2003-02-13,64.95,64.4
30,2003-02-14,64.65,65.23
31,2003-02-18,65.41,65.27
32,2003-02-19,65.53,65.52
33,2003-02-20,65.52,64.01
34,2003-02-21,64.01,63.9
35,2003-02-24,63.45,61.9
36,2003-02-25,60.8,61.15
37,2003-02-26,61.16,60.35
38,2003-02-27,60.35,60.18
39,2003-02-28,60.18,59.26
40,2003-03-03,60.54,58.6
41,2003-03-04,57.85,58.0
42,2003-03-05,57.09,56.39
43,2003-03-06,55.71,54.79
44,2003-03-07,54.79,55.15
45,2003-03-10,55.16,54.52
46,2003-03-11,54.5,53.3
47,2003-03-12,53.16,52.37
48,2003-03-13,52.38,52.58
49,2003-03-14,52.8,52.67
50,2003-03-17,53.0,56.26
51,2003-03-18,56.85,57.75
52,2003-03-19,57.75,58.42
53,2003-03-20,58.43,57.08
54,2003-03-21,57.09,57.12
55,2003-03-24,57.12,57.0
56,2003-03-25,57.25,56.49
57,2003-03-26,56.49,56.1
58,2003-03-27,55.75,56.46
59,2003-03-28,56.0,56.34
60,2003-03-31,55.76,55.07
61,2003-04-01,55.07,55.4
62,2003-04-02,55.05,56.08
63,2003-04-03,56.25,55.33
64,2003-04-04,55.33,54.49
65,2003-04-07,54.5,55.12
66,2003-04-08,55.13,55.27
67,2003-04-09,54.5,53.92
68,2003-04-10,54.05,53.9
69,2003-04-11,54.14,53.97
70,2003-04-14,53.85,55.6
71,2003-04-15,55.6,56.1
72,2003-04-16,56.1,58.28
73,2003-04-17,58.65,59.52
74,2003-04-21,59.52,60.45
75,2003-04-22,60.45,62.16
76,2003-04-23,62.17,62.44
77,2003-04-24,62.45,62.57
78,2003-04-25,62.05,61.89
79,2003-04-28,61.89,62.56
80,2003-04-29,61.95,62.64
81,2003-04-30,62.64,62.07
82,2003-05-01,62.07,60.21
83,2003-05-02,60.21,61.47
84,2003-05-05,61.47,61.2
85,2003-05-06,61.0,61.76
86,2003-05-07,61.76,61.55
87,2003-05-08,61.35,60.33
88,2003-05-09,60.5,61.21
