,date,open,close
0,2003-01-02,24.65,25.48
1,2003-01-03,25.35,25.4
2,2003-01-06,25.4,26.05
3,2003-01-07,25.99,25.9
4,2003-01-08,25.85,25.5
5,2003-01-09,25.75,25.9
6,2003-01-10,25.55,25.65
7,2003-01-13,25.75,25.64
8,2003-01-14,25.7,25.71
9,2003-01-15,25.93,25.19
10,2003-01-16,25.5,25.03
11,2003-01-17,24.8,24.88
12,2003-01-21,24.89,24.06
13,2003-01-22,24.05,23.55
14,2003-01-23,23.65,23.95
15,2003-01-24,23.8,23.06
16,2003-01-27,23.05,23.05
17,2003-01-28,23.6,23.15
18,2003-01-29,22.8,23.03
19,2003-01-30,23.04,22.55
20,2003-01-31,22.5,23.14
21,2003-02-03,23.35,23.65
22,2003-02-04,23.15,23.05
23,2003-02-05,23.2,23.0
24,2003-02-06,22.9,22.89
25,2003-02-07,23.0,22.7
26,2003-02-10,22.61,22.63
27,2003-02-11,22.65,22.5
28,2003-02-12,22.5,22.25
29,2003-02-13,22.28,22.17
30,2003-02-14,22.08,22.48
31,2003-02-18,22.54,22.91
32,2003-02-19,22.92,23.35
33,2003-02-20,23.3,23.35
34,2003-02-21,23.45,23.8
35,2003-02-24,23.95,23.42
36,2003-02-25,23.15,23.98
37,2003-02-26,23.85,23.37
38,2003-02-27,23.47,23.9
39,2003-02-28,23.9,24.05
40,2003-03-03,24.2,23.9
41,2003-03-04,23.73,23.4
42,2003-03-05,23.25,23.8
43,2003-03-06,23.6,23.95
44,2003-03-07,23.5,24.3
45,2003-03-10,23.9,23.6
46,2003-03-11,23.67,23.35
47,2003-03-12,23.22,23.8
48,2003-03-13,24.2,25.21
49,2003-03-14,25.25,25.65
50,2003-03-17,25.0,26.27
51,2003-03-18,26.3,26.4
52,2003-03-19,26.39,26.98
53,2003-03-20,26.86,26.85
54,2003-03-21,27.24,28.0
55,2003-03-24,26.85,26.73
56,2003-03-25,26.73,26.98
57,2003-03-26,26.98,26.6
58,2003-03-27,26.05,26.44
59,2003-03-28,26.25,26.03
60,2003-03-31,25.45,25.5
61,2003-04-01,25.55,26.13
62,2003-04-02,26.95,27.05
63,2003-04-03,27.28,27.55
64,2003-04-04,27.57,27.63
65,2003-04-07,28.34,27.76
66,2003-04-08,27.95,28.06
67,2003-04-09,27.88,27.3
68,2003-04-10,27.29,27.38
69,2003-04-11,27.68,27.65
70,2003-04-14,27.39,27.76
71,2003-04-15,27.9,28.3
72,2003-04-16,28.3,27.83
73,2003-04-17,27.84,28.49
74,2003-04-21,28.47,28.16
75,2003-04-22,28.1,28.99
76,2003-04-23,28.99,29.39
77,2003-04-24,29.0,29.1
78,2003-04-25,29.07,29.11
79,2003-04-28,28.75,29.52
80,2003-04-29,29.68,29.4
81,2003-04-30,29.28,29.45
82,2003-05-01,29.45,29.1
83,2003-05-02,28.8,29.08
84,2003-05-05,29.04,28.83
85,2003-05-06,28.79,29.12
86,2003-05-07,29.22,28.85
87,2003-05-08,28.7,28.47
88,2003-05-09,28.6,29.0
89,2003-05-12,28.88,28.97
90,2003-05-13,28.75,28.55
91,2003-05-14,28.88,28.61
92,2003-05-15,28.7,28.48
93,2003-05-16,28.4,27.85
94,2003-05-19,27.65,27.55
95,2003-05-20,27.74,27.73
96,2003-05-21,27.43,27.6
97,2003-05-22,27.7,27.73
98,2003-05-23,27.73,27.64
99,2003-05-27,27.5,28.31
100,2003-05-28,28.55,28.27
101,2003-05-29,28.27,28.25
102,2003-05-30,28.4,28.7
103,2003-06-02,29.42,29.0
104,2003-06-03,29.0,29.05
105,2003-06-04,29.08,29.36
106,2003-06-05,29.33,29.78
107,2003-06-06,30.21,30.3
108,2003-06-09,30.05,30.14
109,2003-06-10,30.3,30.59
110,2003-06-11,30.59,30.98
111,2003-06-12,31.09,31.07
112,2003-06-13,31.0,30.65
113,2003-06-16,30.85,31.34
114,2003-06-17,31.42,31.2
115,2003-06-18,31.11,30.73
116,2003-06-19,30.26,29.86
117,2003-06-20,30.2,30.01
118,2003-06-23,29.96,29.87
119,2003-06-24,29.87,29.93
120,2003-06-25,29.84,29.26
121,2003-06-26,29.05,29.15
122,2003-06-27,29.2,28.62
123,2003-06-30,28.72,28.68
124,2003-07-01,28.48,28.63
125,2003-07-02,28.82,28.61
126,2003-07-03,28.62,28.55
127,2003-07-07,28.93,29.27
128,2003-07-08,29.27,28.81
129,2003-07-09,28.85,28.38
130,2003-07-10,28.38,28.19
131,2003-07-11,28.35,28.12
132,2003-07-14,28.5,28.04
133,2003-07-15,28.24,27.67
134,2003-07-16,27.72,27.38
135,2003-07-17,27.15,27.1
136,2003-07-18,27.58,27.78
137,2003-07-21,27.77,27.16
138,2003-07-22,27.2,27.41
139,2003-07-23,27.4,27.42
140,2003-07-24,27.65,27.44
141,2003-07-25,27.68,28.43
142,2003-07-28,28.55,28.37
143,2003-07-29,28.38,27.9
144,2003-07-30,28.15,27.97
145,2003-07-31,28.35,28.44
146,2003-08-01,28.2,28.46
147,2003-08-04,28.46,28.48
148,2003-08-05,28.26,27.8
149,2003-08-06,27.8,27.68
150,2003-08-07,27.68,28.08
151,2003-08-08,27.94,28.08
152,2003-08-11,28.05,28.28
153,2003-08-12,28.32,28.33
154,2003-08-13,28.44,28.02
155,2003-08-14,28.2,28.55
156,2003-08-15,28.7,28.78
157,2003-08-18,29.0,29.8
158,2003-08-19,29.9,29.85
159,2003-08-20,29.84,29.45
160,2003-08-21,29.7,30.16
161,2003-08-22,30.3,29.88
162,2003-08-25,29.78,29.85
163,2003-08-26,29.65,29.88
164,2003-08-27,29.63,29.75
165,2003-08-28,29.8,29.68
166,2003-08-29,29.58,29.57
167,2003-09-02,29.75,30.44
168,2003-09-03,30.55,31.12
169,2003-09-04,31.11,31.32
170,2003-09-05,30.94,31.04
171,2003-09-08,31.03,31.38
172,2003-09-09,31.06,31.16
173,2003-09-10,31.05,31.03
174,2003-09-11,31.05,31.48
175,2003-09-12,31.43,31.53
176,2003-09-15,31.5,31.4
177,2003-09-16,31.23,31.93
178,2003-09-17,31.78,31.72
179,2003-09-18,31.77,32.11
180,2003-09-19,32.42,31.93
181,2003-09-22,31.6,31.4
182,2003-09-23,31.3,31.56
183,2003-09-24,31.6,30.81
184,2003-09-25,30.83,30.38
185,2003-09-26,30.12,29.87
186,2003-09-29,30.0,30.37
187,2003-09-30,30.25,29.81
188,2003-10-01,29.81,30.63
189,2003-10-02,30.54,30.75
190,2003-10-03,31.15,30.82
191,2003-10-06,31.0,30.79
192,2003-10-07,30.58,30.65
193,2003-10-08,30.55,30.2
194,2003-10-09,30.53,30.13
195,2003-10-10,29.65,29.32
196,2003-10-13,29.52,28.93
197,2003-10-14,28.9,29.29
198,2003-10-15,29.41,28.85
199,2003-10-16,28.83,29.02
200,2003-10-17,29.02,28.55
201,2003-10-20,28.75,28.78
202,2003-10-21,29.0,28.88
203,2003-10-22,28.78,28.35
204,2003-10-23,28.35,28.39
205,2003-10-24,28.39,28.3
206,2003-10-27,28.5,28.22
207,2003-10-28,28.48,28.52
208,2003-10-29,28.52,28.83
209,2003-10-30,29.15,28.88
210,2003-10-31,28.95,29.01
211,2003-11-03,29.05,28.8
212,2003-11-04,28.81,28.66
213,2003-11-05,28.41,28.43
214,2003-11-06,28.3,28.44
215,2003-11-07,28.54,28.12
216,2003-11-10,28.23,28.17
217,2003-11-11,28.15,28.11
218,2003-11-12,28.12,28.7
219,2003-11-13,28.6,28.34
220,2003-11-14,28.25,27.88
221,2003-11-17,27.67,27.81
222,2003-11-18,28.42,28.44
223,2003-11-19,29.0,29.47
224,2003-11-20,29.12,28.95
225,2003-11-21,29.08,28.56
226,2003-11-24,28.81,28.75
227,2003-11-25,28.77,28.91
228,2003-11-26,29.11,28.77
229,2003-11-28,28.85,28.67
230,2003-12-01,29.2,29.03
231,2003-12-02,29.03,29.48
232,2003-12-03,29.59,29.52
233,2003-12-04,29.4,29.15
234,2003-12-05,29.16,29.1
235,2003-12-08,29.15,29.37
236,2003-12-09,29.5,29.56
237,2003-12-10,29.65,29.72
238,2003-12-11,29.74,30.4
239,2003-12-12,30.28,30.11
240,2003-12-15,30.59,30.33
241,2003-12-16,30.42,30.65
242,2003-12-17,30.65,30.73
243,2003-12-18,30.87,30.85
244,2003-12-19,30.89,30.89
245,2003-12-22,30.8,31.0
246,2003-12-23,30.95,31.1
247,2003-12-24,31.05,30.9
248,2003-12-26,30.89,30.72
249,2003-12-29,30.7,30.83
250,2003-12-30,30.83,30.72
251,2003-12-31,30.63,30.98
252,2004-01-02,31.0,31.12
253,2004-01-05,31.24,31.58
254,2004-01-06,31.42,31.37
255,2004-01-07,31.35,31.68
256,2004-01-08,31.86,32.25
257,2004-01-09,31.65,31.8
258,2004-01-12,31.95,32.09
259,2004-01-13,32.01,31.61
260,2004-01-14,31.79,32.0
261,2004-01-15,32.07,32.0
262,2004-01-16,32.4,33.35
263,2004-01-20,33.75,33.36
264,2004-01-21,33.47,33.85
265,2004-01-22,33.98,33.52
266,2004-01-23,33.65,33.21
267,2004-01-26,33.48,34.14
268,2004-01-27,34.25,34.19
269,2004-01-28,34.3,33.76
270,2004-01-29,34.0,34.03
271,2004-01-30,33.86,33.63
272,2004-02-02,33.69,33.63
273,2004-02-03,33.66,33.21
274,2004-02-04,33.06,33.18
275,2004-02-05,33.31,33.52
276,2004-02-06,33.27,33.18
277,2004-02-09,33.35,32.89
278,2004-02-10,33.17,32.5
279,2004-02-11,32.5,33.08
280,2004-02-12,33.15,32.86
281,2004-02-13,33.0,32.72
282,2004-02-17,33.08,33.05
283,2004-02-18,33.05,32.75
284,2004-02-19,33.0,32.6
285,2004-02-20,32.79,32.7
286,2004-02-23,32.75,33.42
287,2004-02-24,33.41,33.28
288,2004-02-25,33.3,32.97
289,2004-02-26,32.72,32.67
290,2004-02-27,32.75,32.52
291,2004-03-01,32.69,32.79
292,2004-03-02,32.93,32.49
293,2004-03-03,32.46,32.85
294,2004-03-04,32.7,32.9
295,2004-03-05,32.65,32.77
296,2004-03-08,32.5,31.83
297,2004-03-09,31.59,31.56
298,2004-03-10,31.64,31.1
299,2004-03-11,30.92,30.42
300,2004-03-12,30.63,30.6
301,2004-03-15,30.85,30.3
302,2004-03-16,30.65,30.5
303,2004-03-17,30.6,30.76
304,2004-03-18,30.63,30.72
305,2004-03-19,30.62,30.14
306,2004-03-22,29.94,29.41
307,2004-03-23,29.79,29.2
308,2004-03-24,29.05,29.18
309,2004-03-25,29.21,29.7
310,2004-03-26,30.02,30.1
311,2004-03-29,30.58,30.48
312,2004-03-30,30.45,30.69
313,2004-03-31,30.68,30.52
314,2004-04-01,30.42,30.62
