,date,open,close
0,2003-01-02,37.57,38.51
1,2003-01-03,38.6,38.83
2,2003-01-06,38.28,38.9
3,2003-01-07,38.24,38.51
4,2003-01-08,39.33,39.38
5,2003-01-09,39.39,39.73
6,2003-01-10,39.73,39.93
7,2003-01-13,39.69,39.61
8,2003-01-14,39.66,39.7
9,2003-01-15,39.77,39.21
10,2003-01-16,38.83,38.7
11,2003-01-17,38.38,38.39
12,2003-01-21,37.8,37.76
13,2003-01-22,37.18,37.11
14,2003-01-23,37.6,36.65
15,2003-01-24,36.08,35.27
16,2003-01-27,34.56,34.44
17,2003-01-28,34.86,35.3
18,2003-01-29,34.86,35.3
19,2003-01-30,37.1,36.3
20,2003-01-31,37.6,38.76
21,2003-02-03,38.34,38.52
22,2003-02-04,37.75,37.46
23,2003-02-05,37.1,37.22
24,2003-02-06,36.36,36.66
25,2003-02-07,36.2,35.95
26,2003-02-10,35.89,36.45
27,2003-02-11,36.5,36.3
28,2003-02-12,36.3,35.86
29,2003-02-13,36.0,35.85
30,2003-02-14,36.14,36.38
31,2003-02-18,36.61,37.58
32,2003-02-19,37.59,36.56
33,2003-02-20,37.03,36.43
34,2003-02-21,36.61,36.93
35,2003-02-24,36.19,35.72
36,2003-02-25,35.07,35.5
37,2003-02-26,34.9,34.96
38,2003-02-27,34.5,34.76
39,2003-02-28,34.76,35.05
40,2003-03-03,35.96,35.27
41,2003-03-04,34.62,34.15
42,2003-03-05,34.15,34.16
43,2003-03-06,33.8,34.19
44,2003-03-07,33.9,34.18
45,2003-03-10,33.66,33.46
46,2003-03-11,33.24,33.31
47,2003-03-12,32.48,32.75
48,2003-03-13,33.84,34.88
49,2003-03-14,35.37,35.58
50,2003-03-17,34.59,36.31
51,2003-03-18,36.49,36.39
52,2003-03-19,37.21,37.09
53,2003-03-20,35.94,36.52
54,2003-03-21,37.35,37.65
55,2003-03-24,36.9,36.36
56,2003-03-25,36.36,37.16
57,2003-03-26,36.96,36.96
58,2003-03-27,36.75,36.86
59,2003-03-28,35.78,36.1
60,2003-03-31,35.45,35.19
61,2003-04-01,35.56,35.85
62,2003-04-02,36.66,36.69
63,2003-04-03,37.1,36.89
64,2003-04-04,37.3,37.39
65,2003-04-07,38.36,37.75
66,2003-04-08,38.42,38.75
67,2003-04-09,38.82,38.4
68,2003-04-10,38.85,38.32
69,2003-04-11,38.95,38.09
70,2003-04-14,38.76,39.1
71,2003-04-15,38.25,38.74
72,2003-04-16,38.05,37.6
73,2003-04-17,38.03,38.84
74,2003-04-21,39.05,39.01
75,2003-04-22,38.55,39.84
76,2003-04-23,39.93,40.3
77,2003-04-24,39.25,39.58
78,2003-04-25,39.42,39.8
79,2003-04-28,39.68,40.39
80,2003-04-29,39.88,39.56
81,2003-04-30,39.76,40.52
82,2003-05-01,40.9,41.12
83,2003-05-02,41.55,43.45
84,2003-05-05,43.52,43.7
85,2003-05-06,43.08,43.25
86,2003-05-07,42.25,41.9
87,2003-05-08,41.31,41.16
88,2003-05-09,40.83,41.71
89,2003-05-12,41.72,42.65
90,2003-05-13,41.97,42.06
91,2003-05-14,42.38,42.0
92,2003-05-15,42.48,42.57
93,2003-05-16,42.76,43.05
94,2003-05-19,42.72,40.87
95,2003-05-20,40.71,40.79
96,2003-05-21,40.55,40.7
97,2003-05-22,40.67,41.4
98,2003-05-23,40.65,40.6
99,2003-05-27,40.08,41.09
100,2003-05-28,40.61,41.0
101,2003-05-29,41.15,40.79
102,2003-05-30,40.54,40.01
103,2003-06-02,39.83,40.02
104,2003-06-03,41.01,41.03
105,2003-06-04,40.91,41.68
106,2003-06-05,41.23,42.3
107,2003-06-06,42.57,41.9
108,2003-06-09,41.43,41.48
109,2003-06-10,41.81,41.67
110,2003-06-11,41.58,42.51
111,2003-06-12,41.9,41.8
112,2003-06-13,41.58,41.2
113,2003-06-16,41.9,42.32
114,2003-06-17,42.26,42.6
115,2003-06-18,42.99,43.0
116,2003-06-19,43.0,41.7
117,2003-06-20,42.5,42.21
118,2003-06-23,42.51,41.46
119,2003-06-24,41.66,41.62
120,2003-06-25,41.67,41.39
121,2003-06-26,40.98,41.35
122,2003-06-27,41.35,40.65
123,2003-06-30,41.08,40.54
124,2003-07-01,40.2,40.27
125,2003-07-02,39.98,40.25
126,2003-07-03,40.36,41.1
127,2003-07-07,40.34,40.74
128,2003-07-08,39.9,40.35
129,2003-07-09,39.75,40.02
130,2003-07-10,38.8,38.73
131,2003-07-11,39.0,38.8
132,2003-07-14,39.15,39.6
133,2003-07-15,38.57,37.6
134,2003-07-16,37.15,37.4
135,2003-07-17,37.3,37.77
136,2003-07-18,37.67,38.0
137,2003-07-21,38.0,37.6
138,2003-07-22,37.92,37.97
139,2003-07-23,39.5,39.1
140,2003-07-24,39.67,39.56
141,2003-07-25,39.56,40.1
142,2003-07-28,39.72,39.5
143,2003-07-29,39.25,39.43
144,2003-07-30,39.14,39.22
145,2003-07-31,38.75,38.31
146,2003-08-01,38.0,37.4
147,2003-08-04,37.89,37.73
148,2003-08-05,38.13,37.83
149,2003-08-06,37.66,37.8
150,2003-08-07,37.65,38.74
151,2003-08-08,38.68,38.64
152,2003-08-11,38.52,38.69
153,2003-08-12,39.1,39.24
154,2003-08-13,39.74,39.21
155,2003-08-14,39.87,39.76
156,2003-08-15,39.99,39.85
157,2003-08-18,39.82,40.0
158,2003-08-19,39.95,39.79
159,2003-08-20,39.51,39.75
160,2003-08-21,39.01,38.93
161,2003-08-22,38.75,38.43
162,2003-08-25,38.68,39.0
163,2003-08-26,38.3,39.02
164,2003-08-27,39.02,39.42
165,2003-08-28,38.9,39.07
166,2003-08-29,39.08,38.83
167,2003-09-02,38.8,39.4
168,2003-09-03,39.38,39.55
169,2003-09-04,40.19,40.21
170,2003-09-05,40.24,40.64
171,2003-09-08,40.45,41.03
172,2003-09-09,40.4,40.53
173,2003-09-10,41.65,41.72
174,2003-09-11,41.6,41.5
175,2003-09-12,41.39,41.52
176,2003-09-15,41.45,41.2
177,2003-09-16,41.21,41.6
178,2003-09-17,41.9,42.2
179,2003-09-18,42.5,42.59
180,2003-09-19,42.22,41.89
181,2003-09-22,41.6,42.11
182,2003-09-23,42.93,42.9
183,2003-09-24,42.86,42.24
184,2003-09-25,42.84,42.38
185,2003-09-26,42.54,42.81
186,2003-09-29,42.81,43.01
187,2003-09-30,42.68,42.4
188,2003-10-01,42.19,42.77
189,2003-10-02,42.78,43.01
190,2003-10-03,43.73,43.01
191,2003-10-06,43.69,43.4
192,2003-10-07,42.99,43.12
193,2003-10-08,43.39,42.94
194,2003-10-09,43.39,43.46
195,2003-10-10,43.29,43.35
196,2003-10-13,43.4,43.57
197,2003-10-14,43.52,43.88
198,2003-10-15,43.79,43.62
199,2003-10-16,43.05,43.3
200,2003-10-17,43.31,43.36
201,2003-10-20,43.45,43.53
202,2003-10-21,43.65,43.92
203,2003-10-22,42.85,42.92
204,2003-10-23,42.69,43.27
205,2003-10-24,43.27,42.95
206,2003-10-27,43.6,43.48
207,2003-10-28,43.33,43.92
208,2003-10-29,43.93,43.25
209,2003-10-30,43.84,43.36
210,2003-10-31,42.8,43.29
211,2003-11-03,43.7,43.27
212,2003-11-04,43.12,42.87
213,2003-11-05,43.2,43.27
214,2003-11-06,43.39,43.39
215,2003-11-07,43.39,43.59
216,2003-11-10,43.97,43.54
217,2003-11-11,43.65,43.96
218,2003-11-12,45.0,45.18
219,2003-11-13,45.18,46.76
220,2003-11-14,47.3,47.07
221,2003-11-17,47.07,46.94
222,2003-11-18,46.87,46.85
223,2003-11-19,46.33,46.33
224,2003-11-20,45.74,45.95
225,2003-11-21,46.82,47.09
226,2003-11-24,47.13,47.4
227,2003-11-25,47.02,46.5
228,2003-11-26,45.88,46.31
229,2003-11-28,45.98,45.88
230,2003-12-01,46.03,46.33
231,2003-12-02,46.03,46.44
232,2003-12-03,45.69,45.98
233,2003-12-04,45.2,45.13
234,2003-12-05,44.68,44.95
235,2003-12-08,45.02,45.8
236,2003-12-09,45.48,45.25
237,2003-12-10,44.84,44.7
238,2003-12-11,44.54,44.66
239,2003-12-12,44.34,44.57
240,2003-12-15,44.92,44.7
241,2003-12-16,45.2,45.23
242,2003-12-17,45.3,45.41
243,2003-12-18,45.3,45.51
244,2003-12-19,45.29,45.0
245,2003-12-22,44.65,44.98
246,2003-12-23,44.95,44.96
247,2003-12-24,44.93,45.38
248,2003-12-26,45.5,45.45
249,2003-12-29,45.6,45.89
250,2003-12-30,46.05,46.03
251,2003-12-31,46.05,46.62
252,2004-01-02,46.78,46.83
253,2004-01-05,46.69,46.93
254,2004-01-06,46.59,46.72
255,2004-01-07,45.65,45.85
256,2004-01-08,45.85,45.42
257,2004-01-09,45.03,45.66
258,2004-01-12,45.52,45.55
259,2004-01-13,45.47,45.22
260,2004-01-14,44.95,45.46
261,2004-01-15,44.66,44.55
262,2004-01-16,44.65,44.85
263,2004-01-20,45.22,45.58
264,2004-01-21,45.62,45.81
265,2004-01-22,45.5,45.39
266,2004-01-23,44.49,44.12
267,2004-01-26,44.52,45.07
268,2004-01-27,44.22,44.44
269,2004-01-28,44.5,44.23
270,2004-01-29,43.84,44.05
271,2004-01-30,44.05,44.0
272,2004-02-02,43.56,43.58
273,2004-02-03,43.76,44.49
274,2004-02-04,44.3,45.09
275,2004-02-05,45.2,44.97
276,2004-02-06,44.81,44.76
277,2004-02-09,44.75,44.6
278,2004-02-10,44.9,45.22
279,2004-02-11,45.08,45.15
280,2004-02-12,42.8,43.39
281,2004-02-13,42.45,42.52
282,2004-02-17,42.05,42.85
283,2004-02-18,42.6,42.49
284,2004-02-19,43.3,43.27
285,2004-02-20,43.45,43.02
286,2004-02-23,42.89,43.12
287,2004-02-24,42.76,43.08
288,2004-02-25,42.9,43.08
289,2004-02-26,42.86,42.72
290,2004-02-27,42.33,42.62
291,2004-03-01,42.53,42.56
292,2004-03-02,42.12,42.08
293,2004-03-03,41.6,41.95
294,2004-03-04,41.56,42.05
295,2004-03-05,42.0,42.2
296,2004-03-08,42.04,41.94
297,2004-03-09,41.08,40.99
298,2004-03-10,40.56,40.47
299,2004-03-11,40.0,39.49
300,2004-03-12,39.73,40.0
301,2004-03-15,40.03,40.04
302,2004-03-16,40.08,40.08
303,2004-03-17,39.27,39.54
304,2004-03-18,39.66,39.63
305,2004-03-19,39.56,39.64
306,2004-03-22,39.87,39.73
307,2004-03-23,39.86,39.98
308,2004-03-24,39.51,39.81
309,2004-03-25,39.19,39.38
310,2004-03-26,39.66,39.8
311,2004-03-29,39.6,39.98
312,2004-03-30,39.81,39.93
313,2004-03-31,39.63,39.95
314,2004-04-01,40.08,40.0
315,2004-04-02,39.49,39.44
316,2004-04-05,39.45,39.65
317,2004-04-06,40.75,40.65
318,2004-04-07,41.33,41.56
319,2004-04-08,41.14,40.93
320,2004-04-12,40.93,41.0
321,2004-04-13,40.58,40.53
322,2004-04-14,40.05,40.52
323,2004-04-15,41.45,42.66
324,2004-04-16,42.32,42.58
325,2004-04-19,42.21,42.32
326,2004-04-20,41.9,41.55
327,2004-04-21,42.15,42.19
328,2004-04-22,41.99,42.7
329,2004-04-23,41.75,42.1
330,2004-04-26,41.82,41.68
331,2004-04-27,41.45,41.56
332,2004-04-28,40.7,40.7
333,2004-04-29,41.1,41.45
334,2004-04-30,42.68,42.0
335,2004-05-03,42.0,42.26
336,2004-05-04,42.58,42.72
337,2004-05-05,43.0,43.5
338,2004-05-06,43.09,43.28
339,2004-05-07,42.73,43.06
340,2004-05-10,42.67,42.25
341,2004-05-11,41.71,41.85
342,2004-05-12,42.08,42.05
343,2004-05-13,41.78,41.7
344,2004-05-14,41.73,41.95
345,2004-05-17,41.97,41.91
346,2004-05-18,42.5,42.4
347,2004-05-19,42.75,42.47
348,2004-05-20,42.3,42.18
349,2004-05-21,42.12,41.93
350,2004-05-24,41.88,41.82
351,2004-05-25,42.18,42.75
352,2004-05-26,42.7,42.92
353,2004-05-27,42.83,43.25
354,2004-05-28,42.5,42.45
355,2004-06-01,42.29,42.77
356,2004-06-02,43.28,41.39
357,2004-06-03,41.72,42.08
358,2004-06-04,42.08,42.37
359,2004-06-07,42.1,42.55
360,2004-06-08,42.56,42.93
361,2004-06-09,42.78,42.76
362,2004-06-10,42.5,42.51
363,2004-06-14,41.6,41.57
364,2004-06-15,41.78,41.95
365,2004-06-16,42.57,42.48
366,2004-06-17,42.26,42.52
367,2004-06-18,42.68,42.9
368,2004-06-21,42.88,42.88
369,2004-06-22,42.52,42.73
370,2004-06-23,42.62,42.95
371,2004-06-24,42.68,42.64
372,2004-06-25,42.25,42.35
373,2004-06-28,42.28,42.25
374,2004-06-29,41.81,41.87
375,2004-06-30,41.22,41.46
376,2004-07-01,41.12,40.85
377,2004-07-02,41.22,41.23
378,2004-07-06,40.62,40.8
379,2004-07-07,40.41,40.67
380,2004-07-08,40.55,40.63
381,2004-07-09,40.98,40.75
382,2004-07-12,40.25,40.29
383,2004-07-13,39.97,39.84
384,2004-07-14,40.23,39.85
385,2004-07-15,39.79,39.3
386,2004-07-16,39.54,39.39
387,2004-07-19,39.12,39.36
388,2004-07-20,40.04,39.9
389,2004-07-21,40.07,39.73
390,2004-07-22,39.75,40.6
391,2004-07-23,40.4,40.22
392,2004-07-26,40.1,39.81
393,2004-07-27,40.17,40.4
394,2004-07-28,40.55,40.66
395,2004-07-29,40.57,40.67
396,2004-07-30,40.75,40.95
397,2004-08-02,41.15,41.21
398,2004-08-03,41.04,40.91
399,2004-08-04,40.38,40.98
400,2004-08-05,40.5,40.18
401,2004-08-06,39.9,40.01
402,2004-08-09,39.43,39.86
403,2004-08-10,39.53,39.76
404,2004-08-11,39.21,39.53
405,2004-08-12,39.46,39.25
406,2004-08-13,39.44,39.04
407,2004-08-16,39.18,39.7
408,2004-08-17,39.36,39.06
409,2004-08-18,38.82,39.43
410,2004-08-19,39.58,39.7
411,2004-08-20,39.45,39.69
412,2004-08-23,39.89,39.83
413,2004-08-24,39.8,39.59
414,2004-08-25,39.96,40.28
415,2004-08-26,40.52,40.94
416,2004-08-27,41.47,41.31
417,2004-08-30,41.32,41.02
418,2004-08-31,41.02,41.14
419,2004-09-01,41.05,41.26
420,2004-09-02,40.94,41.58
421,2004-09-03,41.02,41.37
422,2004-09-07,40.68,40.68
423,2004-09-08,40.73,41.16
424,2004-09-09,41.36,41.5
425,2004-09-10,41.6,41.66
426,2004-09-13,41.89,42.15
427,2004-09-14,42.91,42.86
428,2004-09-15,42.64,42.5
429,2004-09-16,42.36,42.73
430,2004-09-17,43.0,43.02
431,2004-09-20,42.85,42.88
432,2004-09-21,42.96,43.28
433,2004-09-22,43.04,42.91
434,2004-09-23,43.0,42.9
435,2004-09-24,43.02,43.03
436,2004-09-27,42.66,42.83
437,2004-09-28,43.27,43.32
438,2004-09-29,43.42,43.84
439,2004-09-30,43.67,43.73
440,2004-10-01,43.77,44.01
441,2004-10-04,43.19,43.37
442,2004-10-05,43.64,43.64
443,2004-10-06,43.16,43.05
444,2004-10-07,42.21,41.9
445,2004-10-08,42.15,42.21
446,2004-10-11,42.02,41.99
447,2004-10-12,41.33,41.98
448,2004-10-13,41.87,41.45
449,2004-10-14,41.24,41.15
450,2004-10-15,41.55,41.47
451,2004-10-18,41.18,41.55
452,2004-10-19,42.13,41.95
453,2004-10-20,42.06,42.09
454,2004-10-21,42.18,42.2
455,2004-10-22,41.98,41.62
456,2004-10-25,41.68,41.51
457,2004-10-26,41.56,41.95
458,2004-10-27,42.27,42.65
459,2004-10-28,42.3,42.31
460,2004-10-29,42.16,42.4
461,2004-11-01,42.7,43.1
462,2004-11-02,43.08,42.84
463,2004-11-03,44.05,44.15
464,2004-11-04,44.0,44.37
465,2004-11-05,44.31,44.36
466,2004-11-08,44.22,44.25
467,2004-11-09,44.05,44.45
468,2004-11-10,44.59,44.22
469,2004-11-11,44.37,44.51
470,2004-11-12,45.08,45.02
471,2004-11-15,44.8,44.77
472,2004-11-16,44.81,45.01
473,2004-11-17,44.85,45.04
474,2004-11-18,44.46,43.59
