,date,open,close
0,2003-01-02,24.21,24.88
1,2003-01-03,22.52,21.38
2,2003-01-06,21.59,21.82
3,2003-01-07,21.75,21.46
4,2003-01-08,21.42,21.16
5,2003-01-09,21.3,21.47
6,2003-01-10,21.24,21.58
7,2003-01-13,21.92,21.96
8,2003-01-14,21.97,22.05
9,2003-01-15,22.24,21.87
10,2003-01-16,22.08,22.17
11,2003-01-17,22.5,22.43
12,2003-01-21,22.48,21.8
13,2003-01-22,21.65,21.58
14,2003-01-23,21.8,21.96
15,2003-01-24,21.85,21.26
16,2003-01-27,21.02,20.6
17,2003-01-28,20.78,20.53
18,2003-01-29,20.78,20.53
19,2003-01-30,20.97,20.72
20,2003-01-31,20.65,20.9
21,2003-02-03,21.0,21.38
22,2003-02-04,21.15,21.11
23,2003-02-05,21.27,21.31
24,2003-02-06,21.27,21.63
25,2003-02-07,21.9,21.31
26,2003-02-10,21.45,21.58
27,2003-02-11,21.53,21.28
28,2003-02-12,21.23,21.2
29,2003-02-13,21.2,20.7
30,2003-02-14,20.62,21.35
31,2003-02-18,21.5,21.9
32,2003-02-19,21.8,21.84
33,2003-02-20,21.98,21.65
34,2003-02-21,21.75,22.41
35,2003-02-24,22.86,22.18
36,2003-02-25,22.4,22.84
37,2003-02-26,22.75,22.88
38,2003-02-27,23.0,23.11
39,2003-02-28,22.73,23.45
40,2003-03-03,23.49,23.09
41,2003-03-04,22.89,22.1
42,2003-03-05,22.0,22.15
43,2003-03-06,21.97,22.1
44,2003-03-07,21.57,22.52
45,2003-03-10,22.35,21.92
46,2003-03-11,21.99,21.75
47,2003-03-12,21.75,22.17
48,2003-03-13,22.5,23.15
49,2003-03-14,23.21,22.99
50,2003-03-17,22.92,23.9
51,2003-03-18,23.95,23.94
52,2003-03-19,23.88,24.55
53,2003-03-20,24.31,24.92
54,2003-03-21,25.5,25.78
55,2003-03-24,25.5,24.38
56,2003-03-25,24.35,25.11
57,2003-03-26,25.15,25.42
58,2003-03-27,25.02,25.06
