,date,open,close
0,2003-01-02,18.15,18.64
1,2003-01-03,18.65,18.69
2,2003-01-06,18.4,18.66
3,2003-01-07,18.2,18.45
4,2003-01-08,18.26,18.14
5,2003-01-09,18.35,18.39
6,2003-01-10,18.25,18.22
7,2003-01-13,18.32,18.37
8,2003-01-14,18.27,18.15
9,2003-01-15,18.05,17.96
10,2003-01-16,18.0,18.16
11,2003-01-17,18.16,18.05
12,2003-01-21,17.93,17.66
13,2003-01-22,17.51,17.29
14,2003-01-23,17.55,17.75
15,2003-01-24,17.51,17.26
16,2003-01-27,17.21,17.22
17,2003-01-28,17.64,17.53
18,2003-01-29,17.64,17.53
19,2003-01-30,16.68,16.4
20,2003-01-31,16.6,16.7
21,2003-02-03,17.5,17.37
22,2003-02-04,17.27,17.09
23,2003-02-05,17.15,17.1
24,2003-02-06,17.11,17.12
25,2003-02-07,17.25,17.15
26,2003-02-10,17.17,17.14
27,2003-02-11,17.15,17.14
28,2003-02-12,17.5,17.45
29,2003-02-13,17.7,17.53
30,2003-02-14,17.85,18.02
31,2003-02-18,17.9,17.98
32,2003-02-19,18.03,18.0
33,2003-02-20,18.37,18.49
34,2003-02-21,18.5,18.59
35,2003-02-24,18.6,18.45
36,2003-02-25,18.33,18.18
37,2003-02-26,18.01,17.83
38,2003-02-27,17.87,18.01
39,2003-02-28,18.21,18.37
40,2003-03-03,18.78,18.58
41,2003-03-04,18.25,18.14
42,2003-03-05,18.13,18.25
43,2003-03-06,17.55,17.47
44,2003-03-07,17.14,17.02
45,2003-03-10,17.15,16.83
46,2003-03-11,16.97,16.81
47,2003-03-12,17.2,17.2
48,2003-03-13,16.95,17.18
49,2003-03-14,17.01,17.06
50,2003-03-17,17.0,17.29
51,2003-03-18,17.23,17.19
52,2003-03-19,17.35,17.37
53,2003-03-20,17.69,17.9
54,2003-03-21,17.92,18.21
55,2003-03-24,18.01,17.91
56,2003-03-25,17.3,17.53
57,2003-03-26,17.35,17.6
58,2003-03-27,17.62,17.75
59,2003-03-28,17.3,17.42
60,2003-03-31,16.92,16.6
61,2003-04-01,16.7,17.13
62,2003-04-02,17.25,17.48
63,2003-04-03,17.25,17.25
64,2003-04-04,16.88,16.95
65,2003-04-07,17.43,17.37
66,2003-04-08,16.91,17.06
67,2003-04-09,16.92,16.8
68,2003-04-10,16.8,16.71
69,2003-04-11,16.52,16.35
70,2003-04-14,16.39,16.62
71,2003-04-15,16.6,16.57
72,2003-04-16,15.96,16.01
73,2003-04-17,16.0,16.12
74,2003-04-21,16.12,16.16
75,2003-04-22,15.89,16.11
76,2003-04-23,15.87,15.94
77,2003-04-24,15.88,15.87
78,2003-04-25,15.5,15.5
79,2003-04-28,15.51,15.78
80,2003-04-29,15.78,15.87
81,2003-04-30,15.97,16.68
82,2003-05-01,16.68,16.46
83,2003-05-02,16.71,17.0
84,2003-05-05,17.2,17.0
85,2003-05-06,17.17,17.42
86,2003-05-07,17.46,17.5
87,2003-05-08,17.15,17.21
88,2003-05-09,17.4,17.46
89,2003-05-12,17.52,17.49
90,2003-05-13,17.0,17.0
91,2003-05-14,17.25,17.0
92,2003-05-15,17.05,17.09
93,2003-05-16,16.89,16.75
94,2003-05-19,16.75,16.67
95,2003-05-20,17.03,17.06
96,2003-05-21,16.9,16.88
97,2003-05-22,16.9,17.11
98,2003-05-23,17.33,17.35
99,2003-05-27,17.25,17.31
100,2003-05-28,17.19,17.19
101,2003-05-29,17.25,17.41
102,2003-05-30,17.85,17.96
103,2003-06-02,18.06,18.19
104,2003-06-03,18.05,18.14
105,2003-06-04,18.35,18.5
106,2003-06-05,18.74,18.75
107,2003-06-06,18.85,18.98
108,2003-06-09,18.99,18.99
109,2003-06-10,19.01,19.2
110,2003-06-11,19.22,19.53
111,2003-06-12,19.59,19.56
112,2003-06-13,19.56,19.23
113,2003-06-16,18.87,19.15
114,2003-06-17,19.15,19.49
115,2003-06-18,19.49,19.5
116,2003-06-19,19.83,19.7
117,2003-06-20,19.71,19.73
118,2003-06-23,19.76,19.79
119,2003-06-24,19.05,18.9
120,2003-06-25,18.77,18.66
121,2003-06-26,18.6,18.85
122,2003-06-27,18.98,18.9
123,2003-06-30,19.1,19.05
124,2003-07-01,18.8,18.76
125,2003-07-02,19.3,19.6
126,2003-07-03,20.0,19.9
127,2003-07-07,20.15,20.36
128,2003-07-08,20.9,20.85
129,2003-07-09,21.2,21.21
130,2003-07-10,21.37,21.33
131,2003-07-11,20.7,21.02
132,2003-07-14,20.87,21.0
133,2003-07-15,20.82,20.76
134,2003-07-16,20.6,20.57
135,2003-07-17,20.01,20.06
