,date,open,close
0,2003-01-02,17.63,18.2
1,2003-01-03,18.35,18.57
2,2003-01-06,18.95,19.65
3,2003-01-07,19.67,19.95
4,2003-01-08,19.94,19.5
5,2003-01-09,19.71,20.48
6,2003-01-10,20.25,20.85
7,2003-01-13,20.85,20.36
8,2003-01-14,20.25,20.6
9,2003-01-15,20.6,20.25
10,2003-01-16,20.2,19.99
11,2003-01-17,19.19,19.23
12,2003-01-21,18.95,18.93
13,2003-01-22,18.94,18.95
14,2003-01-23,19.15,19.6
15,2003-01-24,19.8,18.75
16,2003-01-27,18.5,18.37
17,2003-01-28,18.55,18.78
18,2003-01-29,18.55,18.78
19,2003-01-30,19.21,18.2
20,2003-01-31,17.48,17.41
21,2003-02-03,17.44,17.48
22,2003-02-04,17.49,17.5
23,2003-02-05,17.5,17.11
24,2003-02-06,17.12,17.03
25,2003-02-07,17.03,16.48
26,2003-02-10,16.3,16.64
27,2003-02-11,16.87,16.85
28,2003-02-12,16.86,16.62
29,2003-02-13,16.63,16.95
30,2003-02-14,17.25,17.79
31,2003-02-18,17.91,18.44
32,2003-02-19,18.23,17.81
33,2003-02-20,18.05,17.87
34,2003-02-21,18.0,18.17
35,2003-02-24,18.17,17.75
36,2003-02-25,17.75,18.18
37,2003-02-26,16.8,15.37
38,2003-02-27,15.49,15.54
39,2003-02-28,15.54,15.85
40,2003-03-03,16.1,15.86
41,2003-03-04,15.98,15.54
42,2003-03-05,15.54,15.56
43,2003-03-06,15.32,15.55
44,2003-03-07,15.15,15.8
45,2003-03-10,15.4,15.49
46,2003-03-11,15.4,15.41
47,2003-03-12,15.4,15.57
48,2003-03-13,15.7,15.0
49,2003-03-14,15.36,15.66
50,2003-03-17,15.5,16.4
51,2003-03-18,16.56,16.74
52,2003-03-19,16.74,16.96
53,2003-03-20,16.96,17.17
54,2003-03-21,17.8,17.51
55,2003-03-24,17.24,16.55
56,2003-03-25,16.33,16.51
57,2003-03-26,16.51,16.58
58,2003-03-27,16.58,16.44
59,2003-03-28,16.44,16.25
60,2003-03-31,15.75,15.55
61,2003-04-01,15.7,15.62
62,2003-04-02,15.82,15.99
63,2003-04-03,16.2,16.36
64,2003-04-04,16.59,16.31
65,2003-04-07,16.72,16.21
66,2003-04-08,15.94,15.75
67,2003-04-09,15.75,15.36
68,2003-04-10,15.36,15.57
69,2003-04-11,15.95,15.3
70,2003-04-14,15.41,15.89
71,2003-04-15,15.26,15.57
72,2003-04-16,15.51,15.59
73,2003-04-17,15.56,15.3
74,2003-04-21,15.34,15.4
75,2003-04-22,15.4,15.83
76,2003-04-23,15.8,16.07
77,2003-04-24,15.95,15.8
78,2003-04-25,15.8,15.85
79,2003-04-28,15.75,16.11
80,2003-04-29,16.36,16.5
81,2003-04-30,16.25,16.3
82,2003-05-01,16.3,16.5
83,2003-05-02,16.46,16.65
84,2003-05-05,16.74,16.8
85,2003-05-06,16.85,17.33
86,2003-05-07,17.08,17.22
87,2003-05-08,17.2,17.09
88,2003-05-09,17.2,17.34
89,2003-05-12,17.34,17.41
90,2003-05-13,17.41,17.28
91,2003-05-14,17.33,17.42
92,2003-05-15,17.65,17.63
93,2003-05-16,18.25,17.95
94,2003-05-19,17.7,16.88
95,2003-05-20,16.97,17.05
96,2003-05-21,18.35,17.94
97,2003-05-22,17.98,18.46
98,2003-05-23,18.4,18.49
99,2003-05-27,18.38,18.68
100,2003-05-28,18.79,19.38
101,2003-05-29,19.19,19.06
102,2003-05-30,19.07,19.5
103,2003-06-02,19.8,20.05
104,2003-06-03,19.8,20.07
105,2003-06-04,20.06,21.04
106,2003-06-05,20.99,21.9
107,2003-06-06,22.2,22.03
108,2003-06-09,21.5,21.53
109,2003-06-10,21.7,21.62
110,2003-06-11,21.05,21.2
111,2003-06-12,21.45,21.24
112,2003-06-13,21.0,20.99
113,2003-06-16,21.0,21.38
114,2003-06-17,21.551,21.64
115,2003-06-18,21.7,21.97
116,2003-06-19,22.05,21.6
