,date,open,close
0,2003-01-02,78.8,80.57
1,2003-01-03,80.7,81.65
2,2003-01-06,81.9,83.59
3,2003-01-07,83.95,86.0
4,2003-01-08,85.55,84.19
5,2003-01-09,84.75,87.0
6,2003-01-10,85.85,87.68
7,2003-01-13,88.31,87.51
8,2003-01-14,87.23,88.58
9,2003-01-15,88.58,87.59
10,2003-01-16,87.4,86.05
11,2003-01-17,83.74,81.3
12,2003-01-21,81.3,80.54
13,2003-01-22,80.0,79.7
14,2003-01-23,80.15,81.05
15,2003-01-24,80.6,78.99
16,2003-01-27,77.99,78.42
17,2003-01-28,78.5,80.11
18,2003-01-29,79.5,80.32
19,2003-01-30,81.3,78.3
20,2003-01-31,77.7,78.2
21,2003-02-03,78.2,78.18
22,2003-02-04,78.18,77.09
23,2003-02-05,77.85,77.26
24,2003-02-06,77.11,77.51
25,2003-02-07,77.97,77.1
26,2003-02-10,77.1,77.91
27,2003-02-11,78.3,77.39
28,2003-02-12,77.5,76.5
29,2003-02-13,76.1,75.86
30,2003-02-14,76.4,77.45
31,2003-02-18,78.02,79.33
32,2003-02-19,79.08,79.51
33,2003-02-20,79.57,79.15
34,2003-02-21,79.49,79.95
35,2003-02-24,79.7,78.56
36,2003-02-25,77.9,79.07
37,2003-02-26,78.45,77.4
38,2003-02-27,77.9,77.28
39,2003-02-28,77.0,77.95
40,2003-03-03,78.9,77.33
41,2003-03-04,77.6,76.7
42,2003-03-05,76.7,77.73
43,2003-03-06,77.0,77.07
44,2003-03-07,75.71,77.9
45,2003-03-10,77.45,75.7
46,2003-03-11,75.82,75.35
47,2003-03-12,75.25,75.18
48,2003-03-13,75.99,78.45
49,2003-03-14,78.45,79.0
50,2003-03-17,78.0,82.46
51,2003-03-18,82.46,82.47
52,2003-03-19,82.09,82.0
53,2003-03-20,81.71,82.2
54,2003-03-21,82.76,84.9
55,2003-03-24,82.46,82.25
56,2003-03-25,82.0,83.45
57,2003-03-26,83.0,81.55
58,2003-03-27,80.75,81.45
59,2003-03-28,81.05,80.85
60,2003-03-31,79.26,78.43
61,2003-04-01,78.5,78.73
62,2003-04-02,79.9,81.46
63,2003-04-03,82.32,81.91
64,2003-04-04,82.35,80.79
65,2003-04-07,82.6,80.47
66,2003-04-08,80.62,80.07
67,2003-04-09,79.7,78.71
68,2003-04-10,79.1,79.01
69,2003-04-11,80.1,78.75
70,2003-04-14,78.5,80.07
71,2003-04-15,80.07,82.79
72,2003-04-16,83.38,82.88
73,2003-04-17,81.89,84.26
74,2003-04-21,84.4,83.36
75,2003-04-22,83.36,85.63
76,2003-04-23,85.24,85.75
77,2003-04-24,84.65,85.2
78,2003-04-25,85.21,83.88
79,2003-04-28,84.05,85.12
80,2003-04-29,85.34,85.66
81,2003-04-30,85.66,84.9
82,2003-05-01,85.3,85.89
83,2003-05-02,84.45,87.57
84,2003-05-05,87.2,86.52
85,2003-05-06,86.3,87.51
86,2003-05-07,86.95,86.68
87,2003-05-08,86.37,86.05
88,2003-05-09,86.9,87.55
89,2003-05-12,87.55,89.0
90,2003-05-13,88.78,89.98
91,2003-05-14,90.0,88.7
92,2003-05-15,89.5,89.9
93,2003-05-16,89.67,88.99
94,2003-05-19,88.05,86.45
95,2003-05-20,86.58,85.77
96,2003-05-21,85.77,86.18
97,2003-05-22,86.25,86.08
98,2003-05-23,85.75,85.26
99,2003-05-27,84.51,87.69
100,2003-05-28,87.6,87.57
101,2003-05-29,87.57,87.36
102,2003-05-30,87.45,88.04
103,2003-06-02,89.0,87.33
104,2003-06-03,84.32,83.82
105,2003-06-04,84.0,84.25
106,2003-06-05,84.0,81.9
107,2003-06-06,82.25,80.05
108,2003-06-09,80.0,82.0
109,2003-06-10,82.35,81.71
110,2003-06-11,82.75,83.97
111,2003-06-12,84.8,83.95
112,2003-06-13,84.15,82.75
113,2003-06-16,83.1,84.5
114,2003-06-17,84.95,84.3
115,2003-06-18,84.15,84.7
116,2003-06-19,84.95,84.55
117,2003-06-20,85.0,84.92
118,2003-06-23,84.79,83.18
119,2003-06-24,82.95,83.63
120,2003-06-25,83.55,82.49
121,2003-06-26,83.7,84.35
122,2003-06-27,84.15,83.42
123,2003-06-30,83.9,82.5
124,2003-07-01,81.4,83.59
125,2003-07-02,83.95,84.74
126,2003-07-03,84.25,83.95
127,2003-07-07,84.8,86.09
128,2003-07-08,86.09,86.25
129,2003-07-09,86.1,85.47
130,2003-07-10,85.0,84.03
131,2003-07-11,84.1,84.89
132,2003-07-14,86.0,85.42
133,2003-07-15,86.15,86.44
134,2003-07-16,87.0,86.74
135,2003-07-17,82.7,83.33
136,2003-07-18,83.85,83.72
137,2003-07-21,83.2,82.5
138,2003-07-22,82.5,81.85
139,2003-07-23,82.0,82.3
140,2003-07-24,82.95,81.51
141,2003-07-25,81.6,83.55
142,2003-07-28,83.67,82.54
143,2003-07-29,82.55,81.8
144,2003-07-30,82.45,80.96
145,2003-07-31,81.8,81.25
146,2003-08-01,81.15,81.27
147,2003-08-04,80.75,81.13
148,2003-08-05,81.13,79.85
149,2003-08-06,79.7,79.75
150,2003-08-07,79.69,80.69
151,2003-08-08,81.05,80.88
152,2003-08-11,80.87,81.02
153,2003-08-12,81.45,81.51
154,2003-08-13,81.65,81.2
155,2003-08-14,81.0,81.56
156,2003-08-15,81.8,81.79
157,2003-08-18,82.05,83.52
158,2003-08-19,83.1,82.85
159,2003-08-20,82.0,83.05
160,2003-08-21,83.39,82.85
161,2003-08-22,84.25,82.97
162,2003-08-25,82.85,81.96
163,2003-08-26,81.65,82.5
164,2003-08-27,82.0,82.0
165,2003-08-28,82.0,81.9
166,2003-08-29,81.95,82.01
167,2003-09-02,82.4,85.76
168,2003-09-03,86.24,86.33
169,2003-09-04,86.33,87.91
170,2003-09-05,87.0,86.95
171,2003-09-08,88.45,89.1
172,2003-09-09,89.2,89.42
173,2003-09-10,88.99,87.84
174,2003-09-11,86.75,87.92
175,2003-09-12,87.6,88.7
176,2003-09-15,89.7,88.49
177,2003-09-16,88.49,90.29
178,2003-09-17,90.4,90.63
179,2003-09-18,90.63,92.0
180,2003-09-19,92.45,93.28
181,2003-09-22,92.24,91.39
182,2003-09-23,91.5,91.34
183,2003-09-24,91.08,89.4
184,2003-09-25,89.4,89.41
185,2003-09-26,89.41,89.05
186,2003-09-29,89.25,89.45
187,2003-09-30,89.2,88.33
188,2003-10-01,88.75,90.35
189,2003-10-02,89.55,90.08
190,2003-10-03,91.0,90.64
191,2003-10-06,90.74,91.18
192,2003-10-07,90.5,91.7
193,2003-10-08,92.0,92.66
194,2003-10-09,93.3,92.45
195,2003-10-10,92.4,92.67
196,2003-10-13,93.1,93.2
197,2003-10-14,92.65,92.72
198,2003-10-15,93.9,92.74
