,date,open,close
0,2003-01-02,47.78,47.45
1,2003-01-03,47.45,47.24
2,2003-01-06,47.21,47.74
3,2003-01-07,47.35,47.09
4,2003-01-08,46.95,46.45
5,2003-01-09,46.5,46.75
6,2003-01-10,46.5,46.3
7,2003-01-13,45.9,46.17
8,2003-01-14,46.1,46.6
9,2003-01-15,46.4,46.18
10,2003-01-16,46.25,46.34
11,2003-01-17,46.45,46.05
12,2003-01-21,46.06,45.45
13,2003-01-22,45.46,45.44
14,2003-01-23,45.77,45.43
15,2003-01-24,45.41,44.78
16,2003-01-27,45.0,44.92
17,2003-01-28,45.5,45.91
18,2003-01-29,45.5,45.91
19,2003-01-30,45.9,45.5
20,2003-01-31,45.38,46.32
21,2003-02-03,46.32,46.75
22,2003-02-04,46.55,46.35
23,2003-02-05,46.4,45.72
24,2003-02-06,45.4,45.27
25,2003-02-07,45.27,45.0
26,2003-02-10,45.0,45.18
27,2003-02-11,45.04,44.76
28,2003-02-12,44.92,44.67
29,2003-02-13,44.55,44.51
30,2003-02-14,44.55,44.54
31,2003-02-18,44.54,45.02
32,2003-02-19,45.34,45.4
33,2003-02-20,45.6,45.55
34,2003-02-21,45.9,45.98
35,2003-02-24,45.95,45.69
36,2003-02-25,45.7,46.22
37,2003-02-26,46.05,45.58
38,2003-02-27,45.66,46.19
39,2003-02-28,46.25,45.83
40,2003-03-03,46.0,45.5
41,2003-03-04,45.7,45.12
42,2003-03-05,44.78,44.4
43,2003-03-06,44.3,44.4
44,2003-03-07,43.5,44.03
45,2003-03-10,43.4,43.39
46,2003-03-11,43.23,43.59
47,2003-03-12,43.48,43.51
48,2003-03-13,43.98,44.1
49,2003-03-14,44.2,44.11
50,2003-03-17,44.15,45.2
51,2003-03-18,45.7,45.5
52,2003-03-19,45.74,45.45
53,2003-03-20,45.33,45.09
54,2003-03-21,45.4,45.65
55,2003-03-24,45.38,45.05
56,2003-03-25,45.04,45.22
57,2003-03-26,45.22,44.86
58,2003-03-27,44.4,45.4
59,2003-03-28,45.28,45.65
60,2003-03-31,45.1,45.46
61,2003-04-01,45.9,45.55
62,2003-04-02,46.4,46.39
63,2003-04-03,46.47,46.13
64,2003-04-04,46.15,46.28
65,2003-04-07,47.55,46.41
66,2003-04-08,46.27,46.75
67,2003-04-09,46.7,46.24
68,2003-04-10,46.23,46.36
69,2003-04-11,46.66,46.52
70,2003-04-14,46.95,47.11
71,2003-04-15,47.35,47.41
72,2003-04-16,47.63,47.05
73,2003-04-17,47.0,47.48
74,2003-04-21,47.36,47.25
75,2003-04-22,47.4,49.9
76,2003-04-23,49.53,49.76
77,2003-04-24,49.6,49.61
78,2003-04-25,49.5,49.19
79,2003-04-28,49.1,49.96
80,2003-04-29,49.94,50.23
81,2003-04-30,50.35,49.77
82,2003-05-01,49.81,49.76
83,2003-05-02,49.76,50.41
84,2003-05-05,50.38,50.59
85,2003-05-06,50.82,50.13
86,2003-05-07,50.0,50.58
87,2003-05-08,50.2,50.0
88,2003-05-09,50.4,50.37
89,2003-05-12,50.37,50.23
90,2003-05-13,50.55,49.79
91,2003-05-14,50.0,49.96
92,2003-05-15,49.96,51.04
93,2003-05-16,50.9,50.3
94,2003-05-19,50.05,49.61
95,2003-05-20,49.45,49.67
96,2003-05-21,49.67,50.16
97,2003-05-22,50.16,50.85
98,2003-05-23,50.85,50.64
99,2003-05-27,50.3,51.12
100,2003-05-28,51.52,51.56
101,2003-05-29,51.91,51.87
102,2003-05-30,51.86,51.93
103,2003-06-02,52.5,52.05
104,2003-06-03,52.08,52.34
105,2003-06-04,52.15,52.36
106,2003-06-05,52.37,51.97
107,2003-06-06,52.6,52.16
108,2003-06-09,52.22,52.5
109,2003-06-10,52.98,53.03
110,2003-06-11,53.03,53.51
111,2003-06-12,54.0,54.09
112,2003-06-13,54.09,52.92
113,2003-06-16,53.35,54.28
114,2003-06-17,53.88,53.5
115,2003-06-18,53.5,52.95
116,2003-06-19,53.28,52.4
117,2003-06-20,52.3,52.47
118,2003-06-23,52.42,52.86
119,2003-06-24,52.86,53.01
120,2003-06-25,53.01,52.3
121,2003-06-26,52.13,51.93
