,date,open,close
0,2003-01-02,16.59,17.6
1,2003-01-03,17.5,18.1
2,2003-01-06,17.85,18.94
3,2003-01-07,17.87,19.15
4,2003-01-08,18.88,18.75
5,2003-01-09,18.92,19.44
6,2003-01-10,18.8,20.0
7,2003-01-13,20.33,19.67
8,2003-01-14,19.56,19.7
9,2003-01-15,19.97,19.58
10,2003-01-16,18.3,18.75
11,2003-01-17,18.6,18.37
12,2003-01-21,18.21,17.92
13,2003-01-22,17.89,18.48
14,2003-01-23,18.85,19.08
15,2003-01-24,19.06,18.78
16,2003-01-27,18.18,18.11
17,2003-01-28,18.35,18.63
18,2003-01-29,18.35,18.63
19,2003-01-30,18.67,18.09
20,2003-01-31,17.82,18.2
21,2003-02-03,18.05,17.97
22,2003-02-04,17.83,17.75
23,2003-02-05,17.83,17.79
24,2003-02-06,17.72,17.93
25,2003-02-07,17.77,17.54
26,2003-02-10,17.57,17.92
27,2003-02-11,18.0,18.29
28,2003-02-12,18.2,18.17
29,2003-02-13,18.69,18.05
30,2003-02-14,18.31,18.9
31,2003-02-18,18.85,19.49
32,2003-02-19,19.1,19.38
33,2003-02-20,19.41,19.72
34,2003-02-21,19.5,19.83
35,2003-02-24,19.52,19.67
36,2003-02-25,19.45,20.0
37,2003-02-26,19.58,19.71
38,2003-02-27,19.81,20.08
39,2003-02-28,20.03,20.85
40,2003-03-03,20.79,19.92
41,2003-03-04,19.92,19.87
42,2003-03-05,19.98,19.9
43,2003-03-06,19.83,19.44
44,2003-03-07,19.25,19.62
45,2003-03-10,19.39,19.19
46,2003-03-11,19.26,18.96
47,2003-03-12,18.94,19.19
48,2003-03-13,19.69,20.25
49,2003-03-14,20.5,20.69
50,2003-03-17,20.12,22.38
51,2003-03-18,21.85,21.97
52,2003-03-19,22.05,22.21
53,2003-03-20,22.03,22.85
54,2003-03-21,23.59,23.97
55,2003-03-24,22.83,23.35
56,2003-03-25,23.36,23.62
57,2003-03-26,24.49,24.76
58,2003-03-27,24.7,24.41
59,2003-03-28,24.28,24.38
60,2003-03-31,23.82,24.02
61,2003-04-01,23.3,22.79
62,2003-04-02,23.04,23.74
63,2003-04-03,24.05,24.34
64,2003-04-04,24.05,24.05
65,2003-04-07,25.02,24.0
66,2003-04-08,24.18,23.81
67,2003-04-09,23.81,22.87
68,2003-04-10,23.72,24.27
69,2003-04-11,24.35,24.43
70,2003-04-14,23.79,24.35
71,2003-04-15,24.12,24.81
72,2003-04-16,25.01,24.67
73,2003-04-17,24.71,25.09
74,2003-04-21,25.0,25.41
75,2003-04-22,25.12,25.66
76,2003-04-23,25.76,25.6
77,2003-04-24,25.19,25.45
78,2003-04-25,25.8,24.96
79,2003-04-28,25.2,25.29
80,2003-04-29,25.23,25.01
81,2003-04-30,24.92,24.77
82,2003-05-01,24.79,24.55
83,2003-05-02,24.75,25.15
84,2003-05-05,25.34,25.03
85,2003-05-06,25.149,25.15
86,2003-05-07,25.011,24.76
87,2003-05-08,24.65,25.08
88,2003-05-09,25.13,25.04
89,2003-05-12,24.98,26.17
90,2003-05-13,25.96,27.22
91,2003-05-14,27.21,27.09
92,2003-05-15,27.08,27.51
93,2003-05-16,27.42,27.75
94,2003-05-19,27.47,25.95
95,2003-05-20,26.34,26.58
96,2003-05-21,26.58,26.18
97,2003-05-22,26.3,26.89
98,2003-05-23,27.0,28.49
99,2003-05-27,27.88,29.97
100,2003-05-28,30.01,29.9
101,2003-05-29,29.95,30.15
102,2003-05-30,30.3,29.84
103,2003-06-02,30.31,28.66
104,2003-06-03,28.93,28.55
105,2003-06-04,28.45,29.59
106,2003-06-05,29.5,29.39
107,2003-06-06,30.01,27.95
108,2003-06-09,28.55,27.5
109,2003-06-10,27.6,27.9
110,2003-06-11,28.32,29.6
111,2003-06-12,29.73,29.7
112,2003-06-13,29.63,28.72
113,2003-06-16,29.85,30.66
114,2003-06-17,30.95,31.42
115,2003-06-18,30.98,32.3
116,2003-06-19,32.11,31.63
117,2003-06-20,32.304,32.14
118,2003-06-23,31.9,31.52
119,2003-06-24,31.44,31.36
120,2003-06-25,31.2,31.35
121,2003-06-26,31.7,32.9
122,2003-06-27,33.1,32.22
123,2003-06-30,32.66,32.7
124,2003-07-01,32.86,33.64
125,2003-07-02,33.72,34.35
126,2003-07-03,33.6,34.85
127,2003-07-07,35.5,35.27
128,2003-07-08,35.24,35.1
