行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
文山區,33.81,109.42,38.9960095,3,5,0,3,2,2,0,無,2019/10/6,121.552517,25.004507,1000
文山區,32.19,163.53,23.78146026,3,11,0,3,2,2,1,坡道平面,2019/4/28,121.559133,24.983199,2100
文山區,60.25,204.79,0.744710706,1,10,0,3,2,3,1,無,2019/10/23,121.576052,24.988665,6720
文山區,16.99,80.31,0.506512796,5,10,0,3,2,2,1,坡道平面,2019/7/28,121.576052,24.988665,1110
文山區,25.98,86.73,36.09930389,4,5,0,3,2,2,0,無,2019/9/28,121.563486,24.995213,800
信義區,11.42,50.53,10.12751802,3,7,0,1,1,1,1,無,2019/9/26,121.568555,25.041911,1330
松山區,14.43,61.92,43.32464048,5,6,0,2,2,1,1,無,2019/10/6,121.567336,25.049802,1300
信義區,6.69,69.4,11.73193152,5,19,0,1,1,1,1,坡道機械,2019/9/18,121.565382,25.031941,2580
松山區,29.77,138.06,17.35559252,3,18,0,3,2,2,1,無,2019/9/21,121.5552,25.056025,2620
松山區,27.93,118.24,27.43382821,2,7,0,3,2,2,1,無,2019/9/19,121.565397,25.055461,2320
信義區,11.98,111.37,1.117066059,16,16,0,2,1,1,1,坡道平面,2019/10/6,121.580975,25.043951,2680
松山區,10.42,155.09,0.985646523,12,18,1,3,2,2,1,坡道機械,2019/9/28,121.577709,25.050886,3466
松山區,6.97,138.25,0.900771405,15,18,1,2,2,1,1,坡道平面,2019/8/28,121.577709,25.050886,2790
大安區,25.38,115.37,27.76785286,5,5,0,3,2,1,1,無,2019/7/31,121.532705,25.032215,3160
大安區,11.75,54.38,14.41508039,5,12,0,1,1,1,1,無,2019/10/5,121.556838,25.018506,1288
大安區,24,80.57,47.82302169,3,4,0,3,2,1,0,無,2019/10/4,121.553895,25.042663,1570
文山區,36.33,109,29.82402103,2,5,0,3,2,2,0,無,2019/9/11,121.552517,25.004507,1280
松山區,17.48,132.93,1.727619321,8,13,0,2,2,2,1,坡道平面,2019/8/17,121.56728,25.054305,2750
信義區,25.3,131.75,32.12112501,4,7,0,3,2,2,1,無,2019/10/8,121.577925,25.036105,2385
大安區,7.13,38.62,22.77664839,6,9,1,1,1,1,1,無,2019/10/7,121.552456,25.033157,1030
文山區,86.54,236.26,9.878368481,5,5,0,3,2,2,1,坡道平面,2019/5/26,121.583989,24.986504,3400
文山區,18.93,78.04,22.13871606,10,11,0,2,2,1,1,無,2019/8/13,121.549906,25.00137,1180
文山區,20.48,109.3,12.04131502,6,7,0,2,2,1,1,升降機械,2019/9/28,121.548167,24.996068,1800
文山區,52.75,179.07,29.64331916,3,9,0,3,2,2,1,坡道平面,2019/10/6,121.54638,24.985374,2035
大安區,32.95,116.56,38.45664182,3,5,0,3,2,2,0,無,2019/10/1,121.524788,25.025968,2320
大安區,24.8,94.94,31.94863686,2,5,0,3,2,2,0,無,2019/10/16,121.529273,25.023806,1880
大安區,15.81,78.31,6.935118449,2,5,0,2,1,1,1,其他,2019/10/2,121.530988,25.030932,2510
大安區,19.58,107.72,32.4715771,11,14,0,3,2,2,1,無,2019/10/12,121.538994,25.041074,2358
大安區,28.87,94.15,30.97120406,10,12,0,2,2,1,1,無,2019/9/20,121.55957,25.032998,2200
松山區,3.64,45.22,10.46701849,8,18,0,1,1,1,1,無,2019/9/18,121.565404,25.051358,1040
松山區,4.03,95.52,39.06171927,2,5,1,2,2,2,0,無,2019/10/15,121.569077,25.05844,201
松山區,31.67,141.97,31.85828593,3,6,0,4,2,2,1,無,2019/10/12,121.547231,25.047132,2900
信義區,31.25,88.49,42.04877581,1,4,0,3,2,2,0,無,2019/10/4,121.576775,25.046815,1950
文山區,18.22,76.9,24.77532051,5,9,0,3,1,1,1,無,2019/10/6,121.546503,24.999055,1290
文山區,45.35,149.9,8.621669165,5,19,0,4,2,2,1,無,2019/9/29,121.57458,24.998155,2550
文山區,149.94,231.08,1.577034436,4,5,0,4,2,2,1,坡道平面,2019/9/29,121.568548,24.993169,3630
文山區,64.46,171.32,23.10793514,5,12,0,3,2,2,1,坡道機械,2019/9/24,121.583989,24.986504,1950
文山區,34.49,301.3,-1.062307919,12,14,0,4,2,2,1,坡道平面,2018/1/26,121.561668,24.984492,4675
文山區,15.29,137.97,0.624242798,2,14,0,1,1,1,1,坡道平面,2019/10/4,121.561668,24.984492,2000
文山區,10.5,72.16,24.86293353,5,8,0,1,1,1,1,坡道平面,2019/10/13,121.545956,25.000727,846
文山區,39.24,199.2,5.254043546,2,11,0,3,2,2,1,坡道平面,2019/9/6,121.549906,25.00137,2370
文山區,29.82,110.74,36.9261518,5,5,0,3,2,2,0,無,2019/10/6,121.553931,25.000883,1180
文山區,33.74,164.55,9.191153822,2,11,0,3,2,2,1,坡道機械,2019/10/7,121.580271,24.982205,1850
文山區,35.61,180.18,8.98307289,3,14,0,3,2,2,1,坡道平面,2019/10/29,121.536121,25.005952,2057
文山區,35.52,179.66,8.98307289,12,14,0,3,2,2,1,坡道平面,2019/10/29,121.536121,25.005952,2486
文山區,35.8,181.06,8.98307289,11,14,0,3,2,2,1,坡道平面,2019/10/29,121.536121,25.005952,2423
文山區,20.75,46.32,50.62390056,3,4,0,3,2,2,0,無,2019/11/5,121.551233,25.001094,600
文山區,37.67,129.16,27.02040425,2,5,0,4,2,2,0,無,2019/9/12,121.568976,24.982746,1580
信義區,24.75,82.58,41.36429906,3,4,0,3,2,2,0,無,2019/10/5,121.584803,25.040917,1100
